#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.219057049842628E+00  0.598811330918310E-11
     chi_1_1=  0.500000000000000E-01  -.219057908635171E+00  -.936053948277908E-05
     chi_1_1=  0.100000000000000E+00  -.219060485131693E+00  -.187223864688884E-04
     chi_1_1=  0.150000000000000E+00  -.219064779688958E+00  -.280868372231788E-04
     chi_1_1=  0.200000000000000E+00  -.219070792901790E+00  -.374551954746455E-04
     chi_1_1=  0.250000000000000E+00  -.219078525603416E+00  -.468287671687642E-04
     chi_1_1=  0.300000000000000E+00  -.219087978865928E+00  -.562088612108654E-04
     chi_1_1=  0.350000000000000E+00  -.219099154000891E+00  -.655967902134213E-04
     chi_1_1=  0.400000000000000E+00  -.219112052560084E+00  -.749938712482405E-04
     chi_1_1=  0.450000000000000E+00  -.219126676336376E+00  -.844014266045761E-04
     chi_1_1=  0.500000000000000E+00  -.219143027364742E+00  -.938207845541739E-04
     chi_1_1=  0.550000000000000E+00  -.219161107923416E+00  -.103253280124289E-03
     chi_1_1=  0.600000000000000E+00  -.219180920535187E+00  -.112700255879741E-03
     chi_1_1=  0.650000000000000E+00  -.219202467968840E+00  -.122163062715073E-03
     chi_1_1=  0.700000000000000E+00  -.219225753240736E+00  -.131643060657931E-03
     chi_1_1=  0.750000000000000E+00  -.219250779616541E+00  -.141141619684788E-03
     chi_1_1=  0.800000000000000E+00  -.219277550613106E+00  -.150660120550169E-03
     chi_1_1=  0.850000000000000E+00  -.219306070000496E+00  -.160199955630591E-03
     chi_1_1=  0.900000000000000E+00  -.219336341804175E+00  -.169762529784421E-03
     chi_1_1=  0.950000000000000E+00  -.219368370307343E+00  -.179349261228952E-03
     chi_1_1=  0.100000000000000E+01  -.219402160053447E+00  -.188961582435991E-03
     chi_1_1=  0.105000000000000E+01  -.219437715848835E+00  -.198600941047328E-03
     chi_1_1=  0.110000000000000E+01  -.219475042765597E+00  -.208268800811496E-03
     chi_1_1=  0.115000000000000E+01  -.219514146144567E+00  -.217966642543300E-03
     chi_1_1=  0.120000000000000E+01  -.219555031598504E+00  -.227695965107615E-03
     chi_1_1=  0.125000000000000E+01  -.219597705015449E+00  -.237458286429077E-03
     chi_1_1=  0.130000000000000E+01  -.219642172562276E+00  -.247255144529290E-03
     chi_1_1=  0.135000000000000E+01  -.219688440688421E+00  -.257088098593310E-03
     chi_1_1=  0.140000000000000E+01  -.219736516129817E+00  -.266958730067191E-03
     chi_1_1=  0.145000000000000E+01  -.219786405913026E+00  -.276868643788513E-03
     chi_1_1=  0.150000000000000E+01  -.219838117359574E+00  -.286819469151851E-03
     chi_1_1=  0.155000000000000E+01  -.219891658090508E+00  -.296812861311280E-03
     chi_1_1=  0.160000000000000E+01  -.219947036031166E+00  -.306850502422110E-03
     chi_1_1=  0.165000000000000E+01  -.220004259416180E+00  -.316934102924129E-03
     chi_1_1=  0.170000000000000E+01  -.220063336794711E+00  -.327065402868784E-03
     chi_1_1=  0.175000000000000E+01  -.220124277035927E+00  -.337246173292841E-03
     chi_1_1=  0.180000000000000E+01  -.220187089334736E+00  -.347478217641201E-03
     chi_1_1=  0.185000000000000E+01  -.220251783217777E+00  -.357763373241703E-03
     chi_1_1=  0.190000000000000E+01  -.220318368549684E+00  -.368103512834900E-03
     chi_1_1=  0.195000000000000E+01  -.220386855539626E+00  -.378500546161947E-03
     chi_1_1=  0.200000000000000E+01  -.220457254748145E+00  -.388956421613950E-03
     chi_1_1=  0.205000000000000E+01  -.220529577094287E+00  -.399473127946291E-03
     chi_1_1=  0.210000000000000E+01  -.220603833863057E+00  -.410052696061659E-03
     chi_1_1=  0.215000000000000E+01  -.220680036713194E+00  -.420697200865739E-03
     chi_1_1=  0.220000000000000E+01  -.220758197685290E+00  -.431408763199768E-03
     chi_1_1=  0.225000000000000E+01  -.220838329210261E+00  -.442189551854368E-03
     chi_1_1=  0.230000000000000E+01  -.220920444118186E+00  -.453041785669412E-03
     chi_1_1=  0.235000000000000E+01  -.221004555647534E+00  -.463967735724921E-03
     chi_1_1=  0.240000000000000E+01  -.221090677454788E+00  -.474969727628313E-03
     chi_1_1=  0.245000000000000E+01  -.221178823624497E+00  -.486050143903709E-03
     chi_1_1=  0.250000000000000E+01  -.221269008679748E+00  -.497211426489277E-03
     chi_1_1=  0.255000000000000E+01  -.221361247593115E+00  -.508456079349105E-03
     chi_1_1=  0.260000000000000E+01  -.221455555798072E+00  -.519786671206409E-03
     chi_1_1=  0.265000000000000E+01  -.221551949200915E+00  -.531205838405411E-03
     chi_1_1=  0.270000000000000E+01  -.221650444193199E+00  -.542716287909687E-03
     chi_1_1=  0.275000000000000E+01  -.221751057664730E+00  -.554320800445302E-03
     chi_1_1=  0.280000000000000E+01  -.221853807017129E+00  -.566022233797660E-03
     chi_1_1=  0.285000000000000E+01  -.221958710178002E+00  -.577823526271582E-03
     chi_1_1=  0.290000000000000E+01  -.222065785615732E+00  -.589727700324792E-03
     chi_1_1=  0.295000000000000E+01  -.222175052354951E+00  -.601737866385771E-03
     chi_1_1=  0.300000000000000E+01  -.222286529992692E+00  -.613857226867609E-03
     chi_1_1=  0.305000000000000E+01  -.222400238715289E+00  -.626089080390476E-03
     chi_1_1=  0.310000000000000E+01  -.222516199316032E+00  -.638436826226105E-03
     chi_1_1=  0.315000000000000E+01  -.222634433213647E+00  -.650903968978814E-03
     chi_1_1=  0.320000000000000E+01  -.222754962471624E+00  -.663494123518537E-03
     chi_1_1=  0.325000000000000E+01  -.222877809818437E+00  -.676211020182632E-03
     chi_1_1=  0.330000000000000E+01  -.223002998668722E+00  -.689058510264427E-03
     chi_1_1=  0.335000000000000E+01  -.223130553145452E+00  -.702040571807883E-03
     chi_1_1=  0.340000000000000E+01  -.223260498103160E+00  -.715161315729252E-03
     chi_1_1=  0.345000000000000E+01  -.223392859152285E+00  -.728424992288285E-03
     chi_1_1=  0.350000000000000E+01  -.223527662684685E+00  -.741835997933277E-03
     chi_1_1=  0.355000000000000E+01  -.223664935900406E+00  -.755398882546258E-03
     chi_1_1=  0.360000000000000E+01  -.223804706835750E+00  -.769118357116738E-03
     chi_1_1=  0.365000000000000E+01  -.223947004392754E+00  -.782999301874786E-03
     chi_1_1=  0.370000000000000E+01  -.224091858370131E+00  -.797046774916737E-03
     chi_1_1=  0.375000000000000E+01  -.224239299495782E+00  -.811266021359642E-03
     chi_1_1=  0.379999999999999E+01  -.224389359460959E+00  -.825662483063729E-03
     chi_1_1=  0.384999999999999E+01  -.224542070956199E+00  -.840241808965346E-03
     chi_1_1=  0.390000000000000E+01  -.224697467709117E+00  -.855009866066749E-03
     chi_1_1=  0.394999999999999E+01  -.224855584524191E+00  -.869972751133042E-03
