#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.280000000000000E+01  0.605446862526179E+00  0.100663518569940E-02  0.165166804480718E+01  0.274611575665132E-02
     0.285000000000000E+01  0.605260298807442E+00  0.102762304718547E-02  0.165217695491648E+01  0.280509909578760E-02
     0.290000000000000E+01  0.605069871830006E+00  0.104879387713371E-02  0.165269672493392E+01  0.286469098292272E-02
     0.295000000000000E+01  0.604875547759754E+00  0.107015320724687E-02  0.165322746737172E+01  0.292491022834198E-02
     0.300000000000000E+01  0.604677291744586E+00  0.109170673281660E-02  0.165376929820344E+01  0.298577621819588E-02
     0.305000000000000E+01  0.604475067884371E+00  0.111346032023281E-02  0.165432233696973E+01  0.304730894119023E-02
     0.310000000000000E+01  0.604268839199537E+00  0.113542001488796E-02  0.165488670688893E+01  0.310952901669192E-02
     0.315000000000000E+01  0.604058567598219E+00  0.115759204950188E-02  0.165546253497276E+01  0.317245772434327E-02
     0.320000000000000E+01  0.603844213841880E+00  0.117998285289497E-02  0.165604995214750E+01  0.323611703528433E-02
     0.325000000000000E+01  0.603625737509348E+00  0.120259905923918E-02  0.165664909338076E+01  0.330052964509038E-02
     0.330000000000000E+01  0.603403096959155E+00  0.122544751781914E-02  0.165726009781432E+01  0.336571900853989E-02
     0.335000000000000E+01  0.603176249290100E+00  0.124853530333752E-02  0.165788310890328E+01  0.343170937633715E-02
     0.340000000000000E+01  0.602945150299951E+00  0.127186972680210E-02  0.165851827456184E+01  0.349852583392350E-02
     0.345000000000000E+01  0.602709754442140E+00  0.129545834703435E-02  0.165916574731623E+01  0.356619434252183E-02
     0.350000000000000E+01  0.602470014780394E+00  0.131930898284292E-02  0.165982568446502E+01  0.363474178257037E-02
     0.355000000000000E+01  0.602225882941136E+00  0.134342972590880E-02  0.166049824824737E+01  0.370419599971436E-02
     0.360000000000000E+01  0.601977309063548E+00  0.136782895443255E-02  0.166118360601963E+01  0.377458585353829E-02
     0.365000000000000E+01  0.601724241747167E+00  0.139251534759850E-02  0.166188193044071E+01  0.384594126923624E-02
     0.370000000000000E+01  0.601466627996841E+00  0.141749790091503E-02  0.166259339966695E+01  0.391829329243427E-02
     0.375000000000000E+01  0.601204413164920E+00  0.144278594249517E-02  0.166331819755677E+01  0.399167414739688E-02
     0.379999999999999E+01  0.600937540890489E+00  0.146838915034741E-02  0.166405651388604E+01  0.406611729886995E-02
     0.384999999999999E+01  0.600665953035472E+00  0.149431757075217E-02  0.166480854457443E+01  0.414165751783339E-02
     0.390000000000000E+01  0.600389589617411E+00  0.152058163780647E-02  0.166557449192389E+01  0.421833095146137E-02
     0.394999999999999E+01  0.600108388738717E+00  0.154719219422622E-02  0.166635456486954E+01  0.429617519761403E-02
     0.399999999999999E+01  0.599822286512156E+00  0.157416051350372E-02  0.166714897924420E+01  0.437522938421376E-02
     0.404999999999999E+01  0.599531216982341E+00  0.160149832352669E-02  0.166795795805711E+01  0.445553425389048E-02
     0.409999999999999E+01  0.599235112042965E+00  0.162921783177493E-02  0.166878173178798E+01  0.453713225431672E-02
     0.414999999999999E+01  0.598933901349493E+00  0.165733175222133E-02  0.166962053869729E+01  0.462006763469083E-02
     0.419999999999999E+01  0.598627512227009E+00  0.168585333407594E-02  0.167047462515395E+01  0.470438654887131E-02
     0.424999999999999E+01  0.598315869572903E+00  0.171479639252479E-02  0.167134424598147E+01  0.479013716571140E-02
     0.429999999999999E+01  0.597998895754024E+00  0.174417534162989E-02  0.167222966482402E+01  0.487736978719736E-02
     0.434999999999999E+01  0.597676510497944E+00  0.177400522957276E-02  0.167313115453359E+01  0.496613697505167E-02
     0.439999999999999E+01  0.597348630777891E+00  0.180430177644218E-02  0.167404899757991E+01  0.505649368652821E-02
     0.444999999999999E+01  0.597015170690921E+00  0.183508141478636E-02  0.167498348648459E+01  0.514849742019909E-02
     0.449999999999999E+01  0.596676041328848E+00  0.186636133317242E-02  0.167593492428141E+01  0.524220837261366E-02
     0.454999999999999E+01  0.596331150641379E+00  0.189815952302054E-02  0.167690362500452E+01  0.533768960680070E-02
     0.459999999999999E+01  0.595980403290905E+00  0.193049482900844E-02  0.167788991420668E+01  0.543500723368640E-02
     0.464999999999999E+01  0.595623700498321E+00  0.196338700337216E-02  0.167889412950983E+01  0.553423060761282E-02
     0.469999999999999E+01  0.595260939879172E+00  0.199685676446476E-02  0.167991662119036E+01  0.563543253726957E-02
     0.474999999999999E+01  0.594892015269424E+00  0.203092585997283E-02  0.168095775280187E+01  0.573868951349259E-02
     0.479999999999999E+01  0.594516816540006E+00  0.206561713523541E-02  0.168201790183824E+01  0.584408195554547E-02
     0.484999999999999E+01  0.594135229399284E+00  0.210095460715860E-02  0.168309746044033E+01  0.595169447767695E-02
     0.489999999999999E+01  0.593747135182456E+00  0.213696354427550E-02  0.168419683614965E+01  0.606161617795419E-02
     0.494999999999999E+01  0.593352410626858E+00  0.217367055356381E-02  0.168531645271298E+01  0.617394095159848E-02
     0.499999999999999E+01  0.592950927631966E+00  0.221110367470464E-02  0.168645675094215E+01  0.628876783131220E-02
