#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.200706869628462E+00  -.351638969718705E-10  0.498239049740124E+01  -.872916141079600E-09
     0.500000000000000E-01  0.200704101685700E+00  0.301539422162678E-04  0.498245909788975E+01  0.748568576679915E-03
     0.100000000000000E+00  0.200695797617463E+00  0.603105441828400E-04  0.498266491658909E+01  0.149732698027398E-02
     0.150000000000000E+00  0.200681956703761E+00  0.904723965997052E-04  0.498300800521509E+01  0.224646342856232E-02
     0.200000000000000E+00  0.200662577744220E+00  0.120642127885991E-03  0.498348845000227E+01  0.299616728571032E-02
     0.250000000000000E+00  0.200637659057512E+00  0.150822370298227E-03  0.498410637176539E+01  0.374662832660282E-02
     0.300000000000000E+00  0.200607198480532E+00  0.181015761217955E-03  0.498486192598655E+01  0.449803687471576E-02
     0.350000000000000E+00  0.200571193367366E+00  0.211224944446656E-03  0.498575530292679E+01  0.525058394081769E-02
     0.400000000000000E+00  0.200529640587996E+00  0.241452571509826E-03  0.498678672776329E+01  0.600446136271385E-02
     0.450000000000000E+00  0.200482536526795E+00  0.271701302972113E-03  0.498795646075163E+01  0.675986194624616E-02
     0.500000000000000E+00  0.200429877080758E+00  0.301973809765423E-03  0.498926479741393E+01  0.751697960776845E-02
     0.550000000000000E+00  0.200371657657512E+00  0.332272774531958E-03  0.499071206875283E+01  0.827600951831753E-02
     0.600000000000000E+00  0.200307873173069E+00  0.362600892984168E-03  0.499229864149156E+01  0.903714824970678E-02
     0.650000000000000E+00  0.200238518049332E+00  0.392960875283681E-03  0.499402491834097E+01  0.980059392277511E-02
     0.700000000000000E+00  0.200163586211359E+00  0.423355447441295E-03  0.499589133829323E+01  0.105665463580268E-01
     0.750000000000000E+00  0.200083071084355E+00  0.453787352740201E-03  0.499789837694324E+01  0.113352072289086E-01
     0.800000000000000E+00  0.199996965590421E+00  0.484259353184641E-03  0.500004654683791E+01  0.121067802179734E-01
     0.850000000000000E+00  0.199905262145031E+00  0.514774230976335E-03  0.500233639785372E+01  0.128814711761908E-01
     0.900000000000000E+00  0.199807952653242E+00  0.545334790021005E-03  0.500476851760384E+01  0.136594882856728E-01
     0.950000000000000E+00  0.199705028505616E+00  0.575943857467523E-03  0.500734353187462E+01  0.144410422260941E-01
     0.100000000000000E+01  0.199596480573888E+00  0.606604285282187E-03  0.501006210509245E+01  0.152263463450896E-01
     0.105000000000000E+01  0.199482299206314E+00  0.637318951860823E-03  0.501292494082210E+01  0.160156168329375E-01
