# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.09320850477940346  0.561572220402303E+01  0.178071486385778E+00
0.20  0.1864170095588069  0.533549198701430E+01  0.187424140535462E+00
0.30  0.2796255143382103  0.498239049740124E+01  0.200706869628462E+00
0.45  0.4194382715073155  0.434658500310383E+01  0.230065672081856E+00
0.60  0.5592510286764206  0.373786117375558E+01  0.267532675376292E+00
0.80  0.7456680382352276  0.306033672902278E+01  0.326761428086156E+00
1.00  0.9320850477940344  0.306033672902278E+01  0.326761428086156E+00
1.30  1.2117105621322448  0.204116060297472E+01  0.489917353167914E+00
1.70  1.5845445812498584  0.163821437655018E+01  0.610420720458968E+00
