# energy grid [eV]  eels components [arbitrary units]
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.010003334    0.000002000    0.000002000    0.000002000
    0.020006669    0.000004000    0.000004000    0.000004000
    0.030010003    0.000006000    0.000006000    0.000006000
    0.040013338    0.000007999    0.000007999    0.000007999
    0.050016672    0.000009999    0.000009999    0.000009999
    0.060020007    0.000012000    0.000012000    0.000012000
    0.070023341    0.000014000    0.000014000    0.000014000
    0.080026676    0.000016000    0.000016000    0.000016000
    0.090030010    0.000018001    0.000018001    0.000018001
    0.100033344    0.000020002    0.000020002    0.000020002
    0.110036679    0.000022003    0.000022003    0.000022003
    0.120040013    0.000024004    0.000024004    0.000024004
    0.130043348    0.000026005    0.000026005    0.000026005
    0.140046682    0.000028007    0.000028007    0.000028007
    0.150050017    0.000030009    0.000030009    0.000030009
    0.160053351    0.000032011    0.000032011    0.000032011
    0.170056686    0.000034014    0.000034014    0.000034014
    0.180060020    0.000036017    0.000036017    0.000036017
    0.190063354    0.000038021    0.000038021    0.000038021
    0.200066689    0.000040024    0.000040025    0.000040024
    0.210070023    0.000042029    0.000042029    0.000042029
    0.220073358    0.000044034    0.000044034    0.000044034
    0.230076692    0.000046039    0.000046039    0.000046039
    0.240080027    0.000048044    0.000048045    0.000048044
    0.250083361    0.000050051    0.000050051    0.000050051
    0.260086696    0.000052057    0.000052057    0.000052057
    0.270090030    0.000054065    0.000054065    0.000054065
    0.280093364    0.000056073    0.000056073    0.000056073
    0.290096699    0.000058081    0.000058081    0.000058081
    0.300100033    0.000060090    0.000060090    0.000060090
    0.310103368    0.000062100    0.000062100    0.000062100
    0.320106702    0.000064110    0.000064110    0.000064110
    0.330110037    0.000066121    0.000066122    0.000066121
    0.340113371    0.000068133    0.000068133    0.000068133
    0.350116706    0.000070146    0.000070146    0.000070146
    0.360120040    0.000072159    0.000072159    0.000072159
    0.370123374    0.000074173    0.000074173    0.000074173
    0.380126709    0.000076188    0.000076188    0.000076188
    0.390130043    0.000078204    0.000078204    0.000078204
    0.400133378    0.000080220    0.000080221    0.000080220
    0.410136712    0.000082238    0.000082238    0.000082238
    0.420140047    0.000084256    0.000084256    0.000084256
    0.430143381    0.000086275    0.000086275    0.000086275
    0.440146716    0.000088295    0.000088296    0.000088295
    0.450150050    0.000090317    0.000090317    0.000090317
    0.460153384    0.000092339    0.000092339    0.000092339
    0.470156719    0.000094362    0.000094362    0.000094362
    0.480160053    0.000096386    0.000096386    0.000096386
    0.490163388    0.000098411    0.000098411    0.000098411
    0.500166722    0.000100437    0.000100437    0.000100437
    0.510170057    0.000102465    0.000102465    0.000102465
    0.520173391    0.000104493    0.000104493    0.000104493
    0.530176726    0.000106523    0.000106523    0.000106523
    0.540180060    0.000108553    0.000108553    0.000108553
    0.550183394    0.000110585    0.000110585    0.000110585
    0.560186729    0.000112618    0.000112619    0.000112618
    0.570190063    0.000114653    0.000114653    0.000114653
    0.580193398    0.000116688    0.000116689    0.000116688
    0.590196732    0.000118725    0.000118725    0.000118725
    0.600200067    0.000120763    0.000120764    0.000120763
    0.610203401    0.000122803    0.000122803    0.000122803
    0.620206736    0.000124844    0.000124844    0.000124844
    0.630210070    0.000126886    0.000126886    0.000126886
    0.640213404    0.000128930    0.000128930    0.000128930
    0.650216739    0.000130975    0.000130975    0.000130975
    0.660220073    0.000133021    0.000133021    0.000133021
    0.670223408    0.000135069    0.000135069    0.000135069
    0.680226742    0.000137119    0.000137119    0.000137119
    0.690230077    0.000139170    0.000139170    0.000139170
    0.700233411    0.000141222    0.000141222    0.000141222
    0.710236746    0.000143276    0.000143277    0.000143276
    0.720240080    0.000145332    0.000145332    0.000145332
    0.730243414    0.000147389    0.000147390    0.000147389
    0.740246749    0.000149448    0.000149449    0.000149448
    0.750250083    0.000151509    0.000151509    0.000151509
    0.760253418    0.000153571    0.000153571    0.000153571
    0.770256752    0.000155635    0.000155636    0.000155635
    0.780260087    0.000157701    0.000157701    0.000157701
    0.790263421    0.000159769    0.000159769    0.000159769
    0.800266756    0.000161838    0.000161838    0.000161838
    0.810270090    0.000163909    0.000163909    0.000163909
    0.820273424    0.000165982    0.000165982    0.000165982
    0.830276759    0.000168057    0.000168057    0.000168057
    0.840280093    0.000170134    0.000170134    0.000170134
    0.850283428    0.000172212    0.000172213    0.000172212
    0.860286762    0.000174293    0.000174293    0.000174293
    0.870290097    0.000176376    0.000176376    0.000176376
    0.880293431    0.000178460    0.000178461    0.000178460
    0.890296766    0.000180547    0.000180547    0.000180547
    0.900300100    0.000182636    0.000182636    0.000182636
    0.910303434    0.000184727    0.000184727    0.000184727
    0.920306769    0.000186819    0.000186820    0.000186819
    0.930310103    0.000188915    0.000188915    0.000188915
