# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.530510170    3.748907830    3.748907829    3.748907830
    1.540513505    3.747984302    3.747984301    3.747984302
    1.550516839    3.747055866    3.747055865    3.747055865
    1.560520173    3.746122536    3.746122535    3.746122536
    1.570523508    3.745184328    3.745184328    3.745184328
    1.580526842    3.744241259    3.744241258    3.744241259
    1.590530177    3.743293343    3.743293342    3.743293343
    1.600533511    3.742340596    3.742340595    3.742340596
    1.610536846    3.741383034    3.741383033    3.741383034
    1.620540180    3.740420673    3.740420672    3.740420672
    1.630543515    3.739453528    3.739453527    3.739453527
    1.640546849    3.738481615    3.738481614    3.738481614
    1.650550183    3.737504950    3.737504949    3.737504950
    1.660553518    3.736523549    3.736523548    3.736523549
    1.670556852    3.735537428    3.735537427    3.735537428
    1.680560187    3.734546603    3.734546602    3.734546603
    1.690563521    3.733551090    3.733551089    3.733551089
    1.700566856    3.732550904    3.732550903    3.732550904
    1.710570190    3.731546063    3.731546062    3.731546063
    1.720573525    3.730536582    3.730536581    3.730536582
    1.730576859    3.729522477    3.729522476    3.729522477
    1.740580193    3.728503765    3.728503764    3.728503765
    1.750583528    3.727480461    3.727480460    3.727480461
    1.760586862    3.726452582    3.726452582    3.726452582
    1.770590197    3.725420145    3.725420144    3.725420145
    1.780593531    3.724383165    3.724383164    3.724383165
    1.790596866    3.723341659    3.723341658    3.723341659
    1.800600200    3.722295643    3.722295642    3.722295643
    1.810603535    3.721245134    3.721245133    3.721245134
    1.820606869    3.720190148    3.720190147    3.720190148
    1.830610203    3.719130702    3.719130701    3.719130702
    1.840613538    3.718066812    3.718066811    3.718066811
    1.850616872    3.716998494    3.716998493    3.716998494
    1.860620207    3.715925765    3.715925764    3.715925765
    1.870623541    3.714848642    3.714848641    3.714848642
    1.880626876    3.713767141    3.713767140    3.713767141
    1.890630210    3.712681279    3.712681278    3.712681279
    1.900633545    3.711591073    3.711591072    3.711591073
    1.910636879    3.710496538    3.710496537    3.710496538
    1.920640213    3.709397693    3.709397692    3.709397692
    1.930643548    3.708294552    3.708294552    3.708294552
    1.940646882    3.707187134    3.707187133    3.707187134
    1.950650217    3.706075455    3.706075454    3.706075455
    1.960653551    3.704959532    3.704959531    3.704959532
    1.970656886    3.703839381    3.703839380    3.703839380
    1.980660220    3.702715019    3.702715018    3.702715019
    1.990663555    3.701586463    3.701586462    3.701586463
    2.000666889    3.700453730    3.700453729    3.700453730
    2.010670223    3.699316836    3.699316836    3.699316836
    2.020673558    3.698175800    3.698175799    3.698175799
    2.030676892    3.697030636    3.697030635    3.697030636
    2.040680227    3.695881363    3.695881362    3.695881362
    2.050683561    3.694727996    3.694727995    3.694727996
    2.060686896    3.693570554    3.693570553    3.693570554
    2.070690230    3.692409053    3.692409052    3.692409053
    2.080693565    3.691243509    3.691243508    3.691243509
    2.090696899    3.690073940    3.690073940    3.690073940
    2.100700233    3.688900363    3.688900362    3.688900363
    2.110703568    3.687722795    3.687722794    3.687722795
    2.120706902    3.686541252    3.686541251    3.686541252
    2.130710237    3.685355752    3.685355751    3.685355752
    2.140713571    3.684166311    3.684166310    3.684166311
    2.150716906    3.682972947    3.682972946    3.682972947
    2.160720240    3.681775676    3.681775676    3.681775676
    2.170723575    3.680574516    3.680574515    3.680574516
    2.180726909    3.679369484    3.679369483    3.679369483
    2.190730243    3.678160595    3.678160595    3.678160595
    2.200733578    3.676947869    3.676947868    3.676947869
    2.210736912    3.675731321    3.675731320    3.675731320
    2.220740247    3.674510968    3.674510967    3.674510968
    2.230743581    3.673286828    3.673286827    3.673286828
    2.240746916    3.672058917    3.672058917    3.672058917
    2.250750250    3.670827253    3.670827253    3.670827253
    2.260753585    3.669591853    3.669591852    3.669591853
    2.270756919    3.668352733    3.668352732    3.668352733
    2.280760253    3.667109911    3.667109910    3.667109911
    2.290763588    3.665863404    3.665863403    3.665863404
    2.300766922    3.664613228    3.664613227    3.664613228
    2.310770257    3.663359401    3.663359400    3.663359400
    2.320773591    3.662101939    3.662101938    3.662101939
    2.330776926    3.660840860    3.660840859    3.660840860
    2.340780260    3.659576181    3.659576180    3.659576181
    2.350783595    3.658307919    3.658307918    3.658307918
    2.360786929    3.657036090    3.657036089    3.657036090
    2.370790263    3.655760712    3.655760711    3.655760712
    2.380793598    3.654481801    3.654481800    3.654481801
    2.390796932    3.653199375    3.653199374    3.653199375
    2.400800267    3.651913451    3.651913450    3.651913451
    2.410803601    3.650624045    3.650624045    3.650624045
    2.420806936    3.649331175    3.649331174    3.649331175
    2.430810270    3.648034857    3.648034857    3.648034857
    2.440813605    3.646735109    3.646735108    3.646735109
    2.450816939    3.645431947    3.645431946    3.645431947
    2.460820273    3.644125388    3.644125388    3.644125388
    2.470823608    3.642815450    3.642815449    3.642815450
    2.480826942    3.641502148    3.641502148    3.641502148
    2.490830277    3.640185501    3.640185500    3.640185501
    2.500833611    3.638865524    3.638865523    3.638865524
    2.510836946    3.637542235    3.637542234    3.637542235
    2.520840280    3.636215651    3.636215650    3.636215651
    2.530843615    3.634885788    3.634885787    3.634885788
    2.540846949    3.633552663    3.633552662    3.633552663
    2.550850283    3.632216293    3.632216293    3.632216293
    2.560853618    3.630876696    3.630876695    3.630876695
    2.570856952    3.629533886    3.629533885    3.629533886
    2.580860287    3.628187883    3.628187882    3.628187882
    2.590863621    3.626838701    3.626838700    3.626838701
    2.600866956    3.625486358    3.625486357    3.625486358
    2.610870290    3.624130871    3.624130870    3.624130871
    2.620873625    3.622772257    3.622772256    3.622772256
    2.630876959    3.621410531    3.621410530    3.621410531
    2.640880293    3.620045711    3.620045710    3.620045711
    2.650883628    3.618677813    3.618677813    3.618677813
    2.660886962    3.617306855    3.617306854    3.617306855
    2.670890297    3.615932852    3.615932851    3.615932852
    2.680893631    3.614555821    3.614555821    3.614555821
    2.690896966    3.613175780    3.613175779    3.613175780
    2.700900300    3.611792743    3.611792742    3.611792743
    2.710903635    3.610406729    3.610406728    3.610406729
    2.720906969    3.609017753    3.609017752    3.609017753
    2.730910303    3.607625832    3.607625831    3.607625832
    2.740913638    3.606230983    3.606230982    3.606230982
    2.750916972    3.604833221    3.604833220    3.604833221
    2.760920307    3.603432564    3.603432563    3.603432564
    2.770923641    3.602029027    3.602029027    3.602029027
    2.780926976    3.600622628    3.600622627    3.600622628
    2.790930310    3.599213383    3.599213382    3.599213382
    2.800933645    3.597801307    3.597801306    3.597801307
    2.810936979    3.596386417    3.596386416    3.596386417
    2.820940313    3.594968730    3.594968729    3.594968730
    2.830943648    3.593548262    3.593548261    3.593548262
    2.840946982    3.592125029    3.592125028    3.592125029
