# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    20.206130047   20.206130039   20.206130046
    0.760253418    3.997627307    3.997623738    3.997627439
    0.770256752    3.998121589    3.998118020    3.998121721
    0.780260087    3.998622597    3.998619028    3.998622729
    0.790263421    3.999130342    3.999126773    3.999130474
    0.800266756    3.999644835    3.999641266    3.999644967
    0.810270090    4.000166087    4.000162518    4.000166219
    0.820273424    4.000694108    4.000690539    4.000694240
    0.830276759    4.001228910    4.001225341    4.001229042
    0.840280093    4.001770505    4.001766936    4.001770637
    0.850283428    4.002318904    4.002315334    4.002319036
    0.860286762    4.002874118    4.002870549    4.002874250
    0.870290097    4.003436160    4.003432591    4.003436292
    0.880293431    4.004005042    4.004001473    4.004005174
    0.890296766    4.004580776    4.004577207    4.004580908
    0.900300100    4.005163374    4.005159805    4.005163506
    0.910303434    4.005752849    4.005749280    4.005752981
    0.920306769    4.006349214    4.006345645    4.006349346
    0.930310103    4.006952481    4.006948912    4.006952613
    0.940313438    4.007562664    4.007559095    4.007562796
    0.950316772    4.008179776    4.008176207    4.008179908
    0.960320107    4.008803830    4.008800261    4.008803962
    0.970323441    4.009434840    4.009431270    4.009434972
    0.980326776    4.010072819    4.010069250    4.010072951
    0.990330110    4.010717782    4.010714213    4.010717914
    1.000333444    4.011369743    4.011366174    4.011369875
    1.010336779    4.012028716    4.012025146    4.012028848
    1.020340113    4.012694715    4.012691145    4.012694847
    1.030343448    4.013367755    4.013364185    4.013367887
    1.040346782    4.014047851    4.014044281    4.014047983
    1.050350117    4.014735018    4.014731448    4.014735150
    1.060353451    4.015429271    4.015425701    4.015429403
    1.070356786    4.016130625    4.016127056    4.016130757
    1.080360120    4.016839096    4.016835527    4.016839228
    1.090363454    4.017554701    4.017551131    4.017554832
    1.100366789    4.018277453    4.018273884    4.018277585
    1.110370123    4.019007371    4.019003801    4.019007503
    1.120373458    4.019744470    4.019740900    4.019744601
    1.130376792    4.020488766    4.020485196    4.020488898
    1.140380127    4.021240276    4.021236707    4.021240408
    1.150383461    4.021999018    4.021995449    4.021999150
    1.160386796    4.022765008    4.022761439    4.022765140
    1.170390130    4.023538264    4.023534694    4.023538396
    1.180393464    4.024318803    4.024315233    4.024318934
    1.190396799    4.025106642    4.025103072    4.025106774
    1.200400133    4.025901800    4.025898230    4.025901932
    1.210403468    4.026704295    4.026700725    4.026704426
    1.220406802    4.027514144    4.027510575    4.027514276
    1.230410137    4.028331368    4.028327798    4.028331499
    1.240413471    4.029155983    4.029152413    4.029156115
    1.250416806    4.029988009    4.029984440    4.029988141
    1.260420140    4.030827466    4.030823896    4.030827598
