#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.394919531586919E+00  -.165130981078932E-11  0.253216141521709E+01  -.105879366630664E-10
     0.500000000000000E-01  0.394916307876215E+00  0.351314259618471E-04  0.253218206526865E+01  0.225260808362937E-03
     0.100000000000000E+00  0.394906636351442E+00  0.702671462971667E-04  0.253224401995035E+01  0.450571210081230E-03
     0.150000000000000E+00  0.394890515834466E+00  0.105411453967649E-03  0.253234729284577E+01  0.675980808315514E-03
     0.200000000000000E+00  0.394867944361165E+00  0.140568647371884E-03  0.253249190660358E+01  0.901539278827617E-03
     0.250000000000000E+00  0.394838919180561E+00  0.175743030591727E-03  0.253267789295162E+01  0.112729639049701E-02
     0.300000000000000E+00  0.394803436753611E+00  0.210938915295827E-03  0.253290529271663E+01  0.135330203654266E-02
     0.350000000000000E+00  0.394761492751660E+00  0.246160622650990E-03  0.253317415584966E+01  0.157960626590200E-02
     0.400000000000000E+00  0.394713082054535E+00  0.281412485243361E-03  0.253348454145716E+01  0.180625931480678E-02
     0.450000000000000E+00  0.394658198748294E+00  0.316698849011423E-03  0.253383651783787E+01  0.203331163859632E-02
     0.500000000000000E+00  0.394596836122625E+00  0.352024075192844E-03  0.253423016252544E+01  0.226081394380870E-02
     0.550000000000000E+00  0.394528986667873E+00  0.387392542287233E-03  0.253466556233699E+01  0.248881722059178E-02
     0.600000000000000E+00  0.394454642071738E+00  0.422808648036870E-03  0.253514281342752E+01  0.271737277547551E-02
     0.650000000000000E+00  0.394373793215580E+00  0.458276811427547E-03  0.253566202135027E+01  0.294653226454912E-02
     0.700000000000000E+00  0.394286430170383E+00  0.493801474711661E-03  0.253622330112320E+01  0.317634772708642E-02
     0.750000000000000E+00  0.394192542192330E+00  0.529387105455775E-03  0.253682677730160E+01  0.340687161966437E-02
     0.800000000000000E+00  0.394092117718020E+00  0.565038198614878E-03  0.253747258405691E+01  0.363815685082046E-02
     0.850000000000000E+00  0.393985144359292E+00  0.600759278635658E-03  0.253816086526188E+01  0.387025681629618E-02
     0.900000000000000E+00  0.393871608897672E+00  0.636554901591132E-03  0.253889177458215E+01  0.410322543491463E-02
     0.950000000000000E+00  0.393751497278427E+00  0.672429657349061E-03  0.253966547557447E+01  0.433711718514231E-02
     0.100000000000000E+01  0.393624794604222E+00  0.708388171776621E-03  0.254048214179153E+01  0.457198714238606E-02
     0.105000000000000E+01  0.393491485128371E+00  0.744435108983914E-03  0.254134195689366E+01  0.480789101707838E-02
     0.110000000000000E+01  0.393351552247678E+00  0.780575173608919E-03  0.254224511476748E+01  0.504488519360549E-02
     0.115000000000000E+01  0.393204978494866E+00  0.816813113146627E-03  0.254319181965168E+01  0.528302677013496E-02
     0.120000000000000E+01  0.393051745530567E+00  0.853153720325159E-03  0.254418228627012E+01  0.552237359940159E-02
     0.125000000000000E+01  0.392891834134880E+00  0.889601835531778E-03  0.254521673997242E+01  0.576298433051261E-02
     0.130000000000000E+01  0.392725224198492E+00  0.926162349291801E-03  0.254629541688211E+01  0.600491845183480E-02
     0.135000000000000E+01  0.392551894713339E+00  0.962840204803489E-03  0.254741856405277E+01  0.624823633503006E-02
     0.140000000000000E+01  0.392371823762791E+00  0.999640400532260E-03  0.254858643963219E+01  0.649299928030818E-02
     0.145000000000000E+01  0.392184988511384E+00  0.103656799286743E-02  0.254979931303477E+01  0.673926956296668E-02
     0.150000000000000E+01  0.391991365194042E+00  0.107362809884511E-02  0.255105746512260E+01  0.698711048129440E-02
     0.155000000000000E+01  0.391790929104812E+00  0.111082589894081E-02  0.255236118839516E+01  0.723658640591502E-02
     0.160000000000000E+01  0.391583654585081E+00  0.114816663993561E-02  0.255371078718823E+01  0.748776283065251E-02
     0.165000000000000E+01  0.391369515011273E+00  0.118565563785976E-02  0.255510657788198E+01  0.774070642500365E-02
     0.170000000000000E+01  0.391148482781992E+00  0.122329828101785E-02  0.255654888911888E+01  0.799548508830673E-02
     0.175000000000000E+01  0.390920529304625E+00  0.126110003309999E-02  0.255803806203130E+01  0.825216800569941E-02
     0.180000000000000E+01  0.390685624981364E+00  0.129906643638323E-02  0.255957445047967E+01  0.851082570596448E-02
     0.185000000000000E+01  0.390443739194642E+00  0.133720311502821E-02  0.256115842130098E+01  0.877153012136556E-02
     0.190000000000000E+01  0.390194840291965E+00  0.137551577847568E-02  0.256279035456847E+01  0.903435464958098E-02
     0.195000000000000E+01  0.389938895570116E+00  0.141401022494835E-02  0.256447064386261E+01  0.929937421784991E-02
     0.200000000000000E+01  0.389675871258719E+00  0.145269234506314E-02  0.256619969655384E+01  0.956666534944891E-02
     0.205000000000000E+01  0.389405732503144E+00  0.149156812555983E-02  0.256797793409751E+01  0.983630623262563E-02
     0.210000000000000E+01  0.389128443346710E+00  0.153064365315180E-02  0.256980579234153E+01  0.101083767921216E-01
     0.215000000000000E+01  0.388843966712201E+00  0.156992511850517E-02  0.257168372184713E+01  0.103829587634232E-01
     0.220000000000000E+01  0.388552264382637E+00  0.160941882035308E-02  0.257361218822316E+01  0.106601357698883E-01
     0.225000000000000E+01  0.388253296981296E+00  0.164913116975169E-02  0.257559167247472E+01  0.109399934029036E-01
     0.230000000000000E+01  0.387947023950951E+00  0.168906869448547E-02  0.257762267136631E+01  0.112226193052361E-01
     0.235000000000000E+01  0.387633403532293E+00  0.172923804362923E-02  0.257970569780045E+01  0.115081032577523E-01
     0.240000000000000E+01  0.387312392741532E+00  0.176964599227504E-02  0.258184128121204E+01  0.117965372696870E-01
     0.245000000000000E+01  0.386983947347106E+00  0.181029944643251E-02  0.258402996797949E+01  0.120880156726565E-01
     0.250000000000000E+01  0.386648021845511E+00  0.185120544811128E-02  0.258627232185290E+01  0.123826352186187E-01
     0.255000000000000E+01  0.386304569436187E+00  0.189237118059539E-02  0.258856892440033E+01  0.126804951819996E-01
     0.260000000000000E+01  0.385953541995429E+00  0.193380397391927E-02  0.259092037547279E+01  0.129816974662122E-01
     0.265000000000000E+01  0.385594890049312E+00  0.197551131055606E-02  0.259332729368874E+01  0.132863467148142E-01
     0.270000000000000E+01  0.385228562745553E+00  0.201750083132924E-02  0.259579031693894E+01  0.135945504275595E-01
     0.275000000000000E+01  0.384854507824294E+00  0.205978034155951E-02  0.259831010291269E+01  0.139064190816195E-01
     0.280000000000000E+01  0.384472671587758E+00  0.210235781745927E-02  0.260088732964620E+01  0.142220662582629E-01
     0.285000000000000E+01  0.384082998868725E+00  0.214524141278799E-02  0.260352269609419E+01  0.145416087753045E-01
     0.290000000000000E+01  0.383685432997801E+00  0.218843946578225E-02  0.260621692272582E+01  0.148651668256465E-01
     0.295000000000000E+01  0.383279915769392E+00  0.223196050637555E-02  0.260897075214593E+01  0.151928641222678E-01
     0.300000000000000E+01  0.382866387406375E+00  0.227581326372344E-02  0.261178494974291E+01  0.155248280500249E-01
     0.305000000000000E+01  0.382444786523377E+00  0.232000667405054E-02  0.261466030436429E+01  0.158611898246634E-01
     0.310000000000000E+01  0.382015050088618E+00  0.236454988883741E-02  0.261759762902156E+01  0.162020846594610E-01
     0.315000000000000E+01  0.381577113384246E+00  0.240945228336588E-02  0.262059776162543E+01  0.165476519399463E-01
     0.320000000000000E+01  0.381130909965124E+00  0.245472346564279E-02  0.262366156575300E+01  0.168980354071738E-01
     0.325000000000000E+01  0.380676371615948E+00  0.250037328572369E-02  0.262678993144867E+01  0.172533833500662E-01
     0.330000000000000E+01  0.380213428306695E+00  0.254641184545861E-02  0.262998377605998E+01  0.176138488073626E-01
     0.335000000000000E+01  0.379742008146254E+00  0.259284950868455E-02  0.263324404511062E+01  0.179795897797591E-01
     0.340000000000000E+01  0.379262037334206E+00  0.263969691188990E-02  0.263657171321206E+01  0.183507694528604E-01
     0.345000000000000E+01  0.378773440110645E+00  0.268696497537831E-02  0.263996778501601E+01  0.187275564316045E-01
     0.350000000000000E+01  0.378276138703955E+00  0.273466491496126E-02  0.264343329620971E+01  0.191101249868751E-01
     0.355000000000000E+01  0.377770053276452E+00  0.278280825421021E-02  0.264696931455624E+01  0.194986553150570E-01
     0.360000000000000E+01  0.377255101867772E+00  0.283140683730189E-02  0.265057694098226E+01  0.198933338113539E-01
     0.365000000000000E+01  0.376731200335920E+00  0.288047284249189E-02  0.265425731071565E+01  0.202943533577380E-01
     0.370000000000000E+01  0.376198262295857E+00  0.293001879625488E-02  0.265801159447559E+01  0.207019136264698E-01
     0.375000000000000E+01  0.375656199055480E+00  0.298005758813191E-02  0.266184099971822E+01  0.211162214001941E-01
     0.379999999999999E+01  0.375104919548918E+00  0.303060248632823E-02  0.266574677194042E+01  0.215374909096881E-01
     0.384999999999999E+01  0.374544330266955E+00  0.308166715410841E-02  0.266973019604537E+01  0.219659441904260E-01
     0.390000000000000E+01  0.373974335184472E+00  0.313326566703873E-02  0.267379259777288E+01  0.224018114592049E-01
     0.394999999999999E+01  0.373394835684730E+00  0.318541253113016E-02  0.267793534519849E+01  0.228453315121747E-01
     0.399999999999999E+01  0.372805730480351E+00  0.323812270193999E-02  0.268215985030492E+01  0.232967521457187E-01
     0.404999999999999E+01  0.372206915530807E+00  0.329141160469335E-02  0.268646757063011E+01  0.237563306017414E-01
     0.409999999999999E+01  0.371598283956247E+00  0.334529515549164E-02  0.269086001099625E+01  0.242243340390447E-01
     0.414999999999999E+01  0.370979725947450E+00  0.339978978367894E-02  0.269533872532455E+01  0.247010400326046E-01
     0.419999999999999E+01  0.370351128671707E+00  0.345491245544370E-02  0.269990531854064E+01  0.251867371027061E-01
     0.424999999999999E+01  0.369712376174405E+00  0.351068069873850E-02  0.270456144857611E+01  0.256817252760545E-01
     0.429999999999999E+01  0.369063349276074E+00  0.356711262960734E-02  0.270930882847182E+01  0.261863166811482E-01
     0.434999999999999E+01  0.368403925464645E+00  0.362422698001717E-02  0.271414922858928E+01  0.267008361803953E-01
     0.439999999999999E+01  0.367733978782643E+00  0.368204312729770E-02  0.271908447893657E+01  0.272256220416551E-01
     0.444999999999999E+01  0.367053379709040E+00  0.374058112530223E-02  0.272411647161591E+01  0.277610266521145E-01
     0.449999999999999E+01  0.366361995035438E+00  0.379986173741163E-02  0.272924716340046E+01  0.283074172776613E-01
     0.454999999999999E+01  0.365659687736263E+00  0.385990647151321E-02  0.273447857844854E+01  0.288651768711803E-01
     0.459999999999999E+01  0.364946316832618E+00  0.392073761709757E-02  0.273981281116399E+01  0.294347049335022E-01
     0.464999999999999E+01  0.364221737249407E+00  0.398237828462888E-02  0.274525202921201E+01  0.300164184310641E-01
     0.469999999999999E+01  0.363485799665334E+00  0.404485244735643E-02  0.275079847670066E+01  0.306107527746927E-01
     0.474999999999999E+01  0.362738350355323E+00  0.410818498575125E-02  0.275645447753899E+01  0.312181628643344E-01
     0.479999999999999E+01  0.361979231024898E+00  0.417240173476619E-02  0.276222243898341E+01  0.318391242049788E-01
     0.484999999999999E+01  0.361208278636039E+00  0.423752953413650E-02  0.276810485538495E+01  0.324741340995113E-01
     0.489999999999999E+01  0.360425325223929E+00  0.430359628195716E-02  0.277410431215123E+01  0.331237129247729E-01
     0.494999999999999E+01  0.359630197704052E+00  0.437063099179446E-02  0.278022348993776E+01  0.337884054976844E-01
     0.499999999999999E+01  0.358822717668986E+00  0.443866385361313E-02  0.278646516908449E+01  0.344687825389500E-01
