#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.339339824879482E+00  -.192020895617416E-10  0.294689843832847E+01  -.166754985985617E-09
     0.500000000000000E-01  0.339336017616045E+00  0.415000286834229E-04  0.294693145769970E+01  0.360403062668689E-03
     0.100000000000000E+00  0.339324595278767E+00  0.830060647521416E-04  0.294703052497220E+01  0.720906795398710E-03
     0.150000000000000E+00  0.339305556226454E+00  0.124524080669803E-03  0.294719566762975E+01  0.108161161622913E-02
     0.200000000000000E+00  0.339278897722730E+00  0.166060075073557E-03  0.294742693150322E+01  0.144261827306231E-02
     0.250000000000000E+00  0.339244615934456E+00  0.207620057070117E-03  0.294772438080745E+01  0.180402775880299E-02
     0.300000000000000E+00  0.339202705929516E+00  0.249210049748869E-03  0.294808809819292E+01  0.216594139366144E-02
     0.350000000000000E+00  0.339153161673971E+00  0.290836093715000E-03  0.294851818481235E+01  0.252846090800361E-02
     0.400000000000000E+00  0.339095976028557E+00  0.332504250647739E-03  0.294901476040240E+01  0.289168852588844E-02
     0.450000000000000E+00  0.339031140744546E+00  0.374220606888892E-03  0.294957796338045E+01  0.325572704943356E-02
     0.500000000000000E+00  0.338958646458948E+00  0.415991277066905E-03  0.295020795095675E+01  0.362067994415380E-02
     0.550000000000000E+00  0.338878482689070E+00  0.457822407761833E-03  0.295090489926199E+01  0.398665142541931E-02
     0.600000000000000E+00  0.338790637826373E+00  0.499720181216628E-03  0.295166900349081E+01  0.435374654618365E-02
     0.650000000000000E+00  0.338695099129696E+00  0.541690819100361E-03  0.295250047806097E+01  0.472207128613521E-02
     0.700000000000000E+00  0.338591852717757E+00  0.583740586329104E-03  0.295339955678904E+01  0.509173264243087E-02
     0.750000000000000E+00  0.338480883560977E+00  0.625875794950315E-03  0.295436649308239E+01  0.546283872217382E-02
     0.800000000000000E+00  0.338362175472590E+00  0.668102808096834E-03  0.295540156014822E+01  0.583549883680407E-02
     0.850000000000000E+00  0.338235711099034E+00  0.710428044016691E-03  0.295650505121966E+01  0.620982359857461E-02
     0.900000000000000E+00  0.338101471909599E+00  0.752857980185217E-03  0.295767727979950E+01  0.658592501929400E-02
     0.950000000000000E+00  0.337959438185331E+00  0.795399157506142E-03  0.295891857992205E+01  0.696391661152141E-02
     0.100000000000000E+01  0.337809589007162E+00  0.838058184608600E-03  0.296022930643331E+01  0.734391349240853E-02
     0.105000000000000E+01  0.337651902243264E+00  0.880841742247299E-03  0.296160983529015E+01  0.772603249039079E-02
     0.110000000000000E+01  0.337486354535587E+00  0.923756587813319E-03  0.296306056387912E+01  0.811039225493946E-02
     0.115000000000000E+01  0.337312921285580E+00  0.966809559963429E-03  0.296458191135506E+01  0.849711336959464E-02
     0.120000000000000E+01  0.337131576639064E+00  0.101000758337604E-02  0.296617431900055E+01  0.888631846851056E-02
     0.125000000000000E+01  0.336942293470230E+00  0.105335767364238E-02  0.296783825060666E+01  0.927813235675660E-02
     0.130000000000000E+01  0.336745043364746E+00  0.109686694230194E-02  0.296957419287559E+01  0.967268213462654E-02
     0.135000000000000E+01  0.336539796601943E+00  0.114054260203135E-02  0.297138265584611E+01  0.100700973262250E-01
     0.140000000000000E+01  0.336326522136051E+00  0.118439197199683E-02  0.297326417334249E+01  0.104705100126124E-01
     0.145000000000000E+01  0.336105187576452E+00  0.122842248338039E-02  0.297521930344776E+01  0.108740549698039E-01
     0.150000000000000E+01  0.335875759166922E+00  0.127264168509085E-02  0.297724862900232E+01  0.112808698119382E-01
     0.155000000000000E+01  0.335638201763835E+00  0.131705724967094E-02  0.297935275812855E+01  0.116910951399428E-01
     0.160000000000000E+01  0.335392478813268E+00  0.136167697941293E-02  0.298153232478279E+01  0.121048746960501E-01
     0.165000000000000E+01  0.335138552327011E+00  0.140650881269533E-02  0.298378798933543E+01  0.125223555245289E-01
     0.170000000000000E+01  0.334876382857389E+00  0.145156083055433E-02  0.298612043918053E+01  0.129436881390290E-01
     0.175000000000000E+01  0.334605929470908E+00  0.149684126350423E-02  0.298853038937593E+01  0.133690266969497E-01
     0.180000000000000E+01  0.334327149720628E+00  0.154235849862215E-02  0.299101858331534E+01  0.137985291812768E-01
     0.185000000000000E+01  0.334039999617257E+00  0.158812108691288E-02  0.299358579343362E+01  0.142323575903547E-01
     0.190000000000000E+01  0.333744433598890E+00  0.163413775097112E-02  0.299623282194676E+01  0.146706781360929E-01
     0.195000000000000E+01  0.333440404499340E+00  0.168041739295905E-02  0.299896050162813E+01  0.151136614511367E-01
     0.200000000000000E+01  0.333127863515022E+00  0.172696910291860E-02  0.300176969662253E+01  0.155614828055675E-01
     0.205000000000000E+01  0.332806760170300E+00  0.177380216743878E-02  0.300466130329997E+01  0.160143223337341E-01
     0.210000000000000E+01  0.332477042281265E+00  0.182092607869983E-02  0.300763625115070E+01  0.164723652718560E-01
     0.215000000000000E+01  0.332138655917845E+00  0.186835054391743E-02  0.301069550372384E+01  0.169358022070865E-01
     0.220000000000000E+01  0.331791545364196E+00  0.191608549521164E-02  0.301384005961131E+01  0.174048293387653E-01
     0.225000000000000E+01  0.331435653077284E+00  0.196414109992708E-02  0.301707095347966E+01  0.178796487526457E-01
     0.230000000000000E+01  0.331070919643583E+00  0.201252777143217E-02  0.302038925715175E+01  0.183604687089318E-01
     0.235000000000000E+01  0.330697283733798E+00  0.206125618042798E-02  0.302379608074117E+01  0.188475039450245E-01
     0.240000000000000E+01  0.330314682055523E+00  0.211033726679847E-02  0.302729257384175E+01  0.193409759939361E-01
     0.245000000000000E+01  0.329923049303733E+00  0.215978225203679E-02  0.303087992677524E+01  0.198411135194054E-01
     0.250000000000000E+01  0.329522318109011E+00  0.220960265228440E-02  0.303455937189995E+01  0.203481526688169E-01
     0.255000000000000E+01  0.329112418983383E+00  0.225981029202266E-02  0.303833218498392E+01  0.208623374451178E-01
     0.260000000000000E+01  0.328693280263678E+00  0.231041731845915E-02  0.304219968664557E+01  0.213839200990006E-01
     0.265000000000000E+01  0.328264828052236E+00  0.236143621665441E-02  0.304616324386599E+01  0.219131615427345E-01
     0.270000000000000E+01  0.327826986154879E+00  0.241287982543791E-02  0.305022427157641E+01  0.224503317871173E-01
     0.275000000000000E+01  0.327379676015967E+00  0.246476135416590E-02  0.305438423432528E+01  0.229957104031449E-01
     0.280000000000000E+01  0.326922816650416E+00  0.251709440037776E-02  0.305864464802914E+01  0.235495870101111E-01
     0.285000000000000E+01  0.326456324572487E+00  0.256989296841178E-02  0.306300708181238E+01  0.241122617919976E-01
     0.290000000000000E+01  0.325980113721191E+00  0.262317148904611E-02  0.306747315994074E+01  0.246840460441488E-01
     0.295000000000000E+01  0.325494095382128E+00  0.267694484023590E-02  0.307204456385399E+01  0.252652627523984E-01
     0.300000000000000E+01  0.324998178105542E+00  0.273122836902300E-02  0.307672303430387E+01  0.258562472069869E-01
     0.305000000000000E+01  0.324492267620407E+00  0.278603791470108E-02  0.308151037360321E+01  0.264573476538007E-01
     0.310000000000000E+01  0.323976266744300E+00  0.284138983332566E-02  0.308640844799320E+01  0.270689259856798E-01
     0.315000000000000E+01  0.323450075288825E+00  0.289730102366594E-02  0.309141919013578E+01  0.276913584767695E-01
     0.320000000000000E+01  0.322913589960330E+00  0.295378895470344E-02  0.309654460173911E+01  0.283250365631475E-01
     0.325000000000000E+01  0.322366704255638E+00  0.301087169479114E-02  0.310178675632410E+01  0.289703676732332E-01
     0.330000000000000E+01  0.321809308352498E+00  0.306856794259714E-02  0.310714780214111E+01  0.296277761118011E-01
     0.335000000000000E+01  0.321241288994436E+00  0.312689705996665E-02  0.311262996524631E+01  0.302977040017461E-01
     0.340000000000000E+01  0.320662529369651E+00  0.318587910684895E-02  0.311823555274815E+01  0.309806122881351E-01
     0.345000000000000E+01  0.320072908983612E+00  0.324553487844794E-02  0.312396695623462E+01  0.316769818094709E-01
     0.350000000000000E+01  0.319472303524932E+00  0.330588594477002E-02  0.312982665539383E+01  0.323873144415648E-01
     0.355000000000000E+01  0.318860584724123E+00  0.336695469275823E-02  0.313581722184027E+01  0.331121343199004E-01
     0.360000000000000E+01  0.318237620204735E+00  0.342876437121949E-02  0.314194132316114E+01  0.338519891469350E-01
     0.365000000000000E+01  0.317603273326417E+00  0.349133913877057E-02  0.314820172719738E+01  0.346074515913847E-01
     0.370000000000000E+01  0.316957403019333E+00  0.355470411505042E-02  0.315460130657609E+01  0.353791207872355E-01
     0.375000000000000E+01  0.316299863609409E+00  0.361888543546939E-02  0.316114304351139E+01  0.361676239409497E-01
     0.379999999999999E+01  0.315630504633700E+00  0.368391030979307E-02  0.316783003489358E+01  0.369736180562143E-01
     0.384999999999999E+01  0.314949170645292E+00  0.374980708488698E-02  0.317466549768644E+01  0.377977917864659E-01
     0.390000000000000E+01  0.314255701006934E+00  0.381660531198139E-02  0.318165277465581E+01  0.386408674265029E-01
     0.394999999999999E+01  0.313549929672651E+00  0.388433581885160E-02  0.318879534045351E+01  0.395036030556350E-01
     0.399999999999999E+01  0.312831684956457E+00  0.395303078734973E-02  0.319609680808304E+01  0.403867948461200E-01
     0.404999999999999E+01  0.312100789287227E+00  0.402272383676926E-02  0.320356093577625E+01  0.412912795521000E-01
