#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.195168841423716E+00  0.145096937197147E-12
     chi_1_1=  0.500000000000000E-01  -.195169471143793E+00  -.686166846364021E-05
     chi_1_1=  0.100000000000000E+00  -.195171360372387E+00  -.137240843903808E-04
     chi_1_1=  0.150000000000000E+00  -.195174509314623E+00  -.205879952733754E-04
     chi_1_1=  0.200000000000000E+00  -.195178918312472E+00  -.274541493916601E-04
     chi_1_1=  0.250000000000000E+00  -.195184587844899E+00  -.343232959862493E-04
     chi_1_1=  0.300000000000000E+00  -.195191518528063E+00  -.411961855822913E-04
     chi_1_1=  0.350000000000000E+00  -.195199711115587E+00  -.480735703125094E-04
     chi_1_1=  0.400000000000000E+00  -.195209166498872E+00  -.549562042422539E-04
     chi_1_1=  0.450000000000000E+00  -.195219885707484E+00  -.618448436964945E-04
     chi_1_1=  0.500000000000000E+00  -.195231869909593E+00  -.687402475890860E-04
     chi_1_1=  0.550000000000000E+00  -.195245120412474E+00  -.756431777546410E-04
     chi_1_1=  0.600000000000000E+00  -.195259638663069E+00  -.825543992833542E-04
     chi_1_1=  0.650000000000000E+00  -.195275426248609E+00  -.894746808591227E-04
     chi_1_1=  0.700000000000000E+00  -.195292484897302E+00  -.964047951013163E-04
     chi_1_1=  0.750000000000000E+00  -.195310816479076E+00  -.103345518910554E-03
     chi_1_1=  0.800000000000000E+00  -.195330423006390E+00  -.110297633818862E-03
     chi_1_1=  0.850000000000000E+00  -.195351306635112E+00  -.117261926344576E-03
     chi_1_1=  0.900000000000000E+00  -.195373469665454E+00  -.124239188352382E-03
     chi_1_1=  0.950000000000000E+00  -.195396914542982E+00  -.131230217418887E-03
     chi_1_1=  0.100000000000000E+01  -.195421643859685E+00  -.138235817204118E-03
     chi_1_1=  0.105000000000000E+01  -.195447660355118E+00  -.145256797829375E-03
     chi_1_1=  0.110000000000000E+01  -.195474966917605E+00  -.152293976261855E-03
     chi_1_1=  0.115000000000000E+01  -.195503566585532E+00  -.159348176706497E-03
     chi_1_1=  0.120000000000000E+01  -.195533462548685E+00  -.166420231005492E-03
     chi_1_1=  0.125000000000000E+01  -.195564658149688E+00  -.173510979045946E-03
     chi_1_1=  0.130000000000000E+01  -.195597156885493E+00  -.180621269176155E-03
     chi_1_1=  0.135000000000000E+01  -.195630962408961E+00  -.187751958631023E-03
     chi_1_1=  0.140000000000000E+01  -.195666078530518E+00  -.194903913967126E-03
     chi_1_1=  0.145000000000000E+01  -.195702509219887E+00  -.202078011507960E-03
     chi_1_1=  0.150000000000000E+01  -.195740258607906E+00  -.209275137799963E-03
     chi_1_1=  0.155000000000000E+01  -.195779330988425E+00  -.216496190079847E-03
     chi_1_1=  0.160000000000000E+01  -.195819730820297E+00  -.223742076753890E-03
     chi_1_1=  0.165000000000000E+01  -.195861462729446E+00  -.231013717889801E-03
     chi_1_1=  0.170000000000000E+01  -.195904531511036E+00  -.238312045721814E-03
     chi_1_1=  0.175000000000000E+01  -.195948942131724E+00  -.245638005169698E-03
     chi_1_1=  0.180000000000000E+01  -.195994699732018E+00  -.252992554372409E-03
     chi_1_1=  0.185000000000000E+01  -.196041809628720E+00  -.260376665237120E-03
     chi_1_1=  0.190000000000000E+01  -.196090277317482E+00  -.267791324004415E-03
     chi_1_1=  0.195000000000000E+01  -.196140108475463E+00  -.275237531830466E-03
