# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.07942942590993612  0.310543171653838E+01  0.322016418739582E+00
0.20  0.15885885181987225  0.304322308903175E+01  0.328598979024626E+00
0.30  0.23828827772980832  0.294689843832847E+01  0.339339824879482E+00
0.45  0.35743241659471253  0.275468131343487E+01  0.363018398942519E+00
0.60  0.47657655545961664  0.253216141521709E+01  0.394919531586919E+00
0.80  0.635435407279489  0.223157397765380E+01  0.448114205495158E+00
1.30  1.0325825368291695  0.166272161796898E+01  0.601423587203673E+00
1.70  1.350300240468914  0.142001927571889E+01  0.704215792770663E+00
