#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.363018398942519E+00  0.232947737318564E-10  0.275468131343487E+01  0.176767012599819E-09
     0.500000000000000E-01  0.363014854078133E+00  0.386354648722334E-04  0.275470818187936E+01  0.293182028224517E-03
     0.100000000000000E+00  0.363004219015598E+00  0.772760415065936E-04  0.275478879389963E+01  0.586437187304810E-03
     0.150000000000000E+00  0.362986492346536E+00  0.115926890866304E-03  0.275492316956059E+01  0.879839014278820E-03
     0.200000000000000E+00  0.362961671722854E+00  0.154593155844788E-03  0.275511134231973E+01  0.117346097479459E-02
     0.250000000000000E+00  0.362929753855565E+00  0.193279987180931E-03  0.275535335905091E+01  0.146737669275866E-02
     0.300000000000000E+00  0.362890734513122E+00  0.231992546089189E-03  0.275564928007786E+01  0.176166000344929E-02
     0.350000000000000E+00  0.362844608519277E+00  0.270736006902553E-03  0.275599917921726E+01  0.205638500693983E-02
     0.400000000000000E+00  0.362791369750461E+00  0.309515559731656E-03  0.275640314383155E+01  0.235162612191117E-02
     0.450000000000000E+00  0.362731011132674E+00  0.348336413143301E-03  0.275686127489156E+01  0.264745813993319E-02
     0.500000000000000E+00  0.362663524637896E+00  0.387203796861798E-03  0.275737368704891E+01  0.294395628029637E-02
     0.550000000000000E+00  0.362588901279996E+00  0.426122964496471E-03  0.275794050871854E+01  0.324119624547616E-02
     0.600000000000000E+00  0.362507131110146E+00  0.465099196298846E-03  0.275856188217119E+01  0.353925427731412E-02
     0.650000000000000E+00  0.362418203211737E+00  0.504137801953005E-03  0.275923796363622E+01  0.383820721400177E-02
     0.700000000000000E+00  0.362322105694785E+00  0.543244123402752E-03  0.275996892341478E+01  0.413813254795532E-02
     0.750000000000000E+00  0.362218825689809E+00  0.582423537719265E-03  0.276075494600354E+01  0.443910848467139E-02
     0.800000000000000E+00  0.362108349341200E+00  0.621681460013034E-03  0.276159623022915E+01  0.474121400265655E-02
     0.850000000000000E+00  0.361990661800052E+00  0.661023346393975E-03  0.276249298939366E+01  0.504452891452635E-02
     0.900000000000000E+00  0.361865747216451E+00  0.700454696983717E-03  0.276344545143109E+01  0.534913392937235E-02
     0.950000000000000E+00  0.361733588731206E+00  0.739981058984229E-03  0.276445385907542E+01  0.565511071649950E-02
