#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.280000000000000E+01  0.601043783382009E+00  0.194907206417193E-02  0.166375480776677E+01  0.539524425192985E-02
     0.285000000000000E+01  0.600682586357796E+00  0.199113613795685E-02  0.166475445602110E+01  0.551831005840726E-02
     0.290000000000000E+01  0.600313644303229E+00  0.203364510032924E-02  0.166577677108031E+01  0.564304809810152E-02
     0.295000000000000E+01  0.599936874969101E+00  0.207661277349636E-02  0.166682206191406E+01  0.576951364273875E-02
     0.300000000000000E+01  0.599552193562945E+00  0.212005340688047E-02  0.166789064765666E+01  0.589776384413702E-02
     0.305000000000000E+01  0.599159512670622E+00  0.216398169706070E-02  0.166898285795175E+01  0.602785782573579E-02
     0.310000000000000E+01  0.598758742174254E+00  0.220841280878411E-02  0.167009903331377E+01  0.615985677923463E-02
     0.315000000000000E+01  0.598349789166350E+00  0.225336239711664E-02  0.167123952550688E+01  0.629382406668699E-02
     0.320000000000000E+01  0.597932557859875E+00  0.229884663081022E-02  0.167240469794263E+01  0.642982532842369E-02
     0.325000000000000E+01  0.597506949494082E+00  0.234488221696817E-02  0.167359492609706E+01  0.656792859720877E-02
     0.330000000000000E+01  0.597072862235842E+00  0.239148642709720E-02  0.167481059794875E+01  0.670820441906285E-02
     0.335000000000000E+01  0.596630191076241E+00  0.243867712464164E-02  0.167605211443864E+01  0.685072598122417E-02
     0.340000000000000E+01  0.596178827722173E+00  0.248647279410278E-02  0.167731988995321E+01  0.699556924775544E-02
     0.345000000000000E+01  0.595718660482628E+00  0.253489257185477E-02  0.167861435283222E+01  0.714281310334624E-02
     0.350000000000000E+01  0.595249574149404E+00  0.258395627877730E-02  0.167993594590253E+01  0.729253950590645E-02
     0.355000000000000E+01  0.594771449871873E+00  0.263368445483557E-02  0.168128512703959E+01  0.744483364859609E-02
     0.360000000000000E+01  0.594284165025492E+00  0.268409839574843E-02  0.168266236975826E+01  0.759978413199124E-02
     0.365000000000000E+01  0.593787593073658E+00  0.273522019189796E-02  0.168406816383483E+01  0.775748314714641E-02
     0.370000000000000E+01  0.593281603422514E+00  0.278707276964629E-02  0.168550301596210E+01  0.791802667037898E-02
     0.375000000000000E+01  0.592766061268274E+00  0.283967993524027E-02  0.168696745043973E+01  0.808151467067390E-02
     0.379999999999999E+01  0.592240827436614E+00  0.289306642149984E-02  0.168846200990201E+01  0.824805133068682E-02
     0.384999999999999E+01  0.591705758213605E+00  0.294725793750359E-02  0.168998725608550E+01  0.841774528241084E-02
     0.390000000000000E+01  0.591160705167693E+00  0.300228122150396E-02  0.169154377063924E+01  0.859070985866961E-02
     0.394999999999999E+01  0.590605514962113E+00  0.305816409732541E-02  0.169313215598018E+01  0.876706336170585E-02
     0.399999999999999E+01  0.590040029157134E+00  0.311493553452227E-02  0.169475303619704E+01  0.894692935025225E-02
     0.404999999999999E+01  0.589464084001477E+00  0.317262571259849E-02  0.169640705800571E+01  0.913043694660281E-02
     0.409999999999999E+01  0.588877510212161E+00  0.323126608961969E-02  0.169809489175991E+01  0.931772116534618E-02
