#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.280000000000000E+01  0.696592710850362E+00  0.124921322098857E-02  0.143555447600814E+01  0.257440768894855E-02
     0.285000000000000E+01  0.696361222813511E+00  0.127637742257871E-02  0.143603148429119E+01  0.263213703551143E-02
     0.290000000000000E+01  0.696124733595885E+00  0.130384450119016E-02  0.143651912309203E+01  0.269060625072599E-02
     0.295000000000000E+01  0.695883187245814E+00  0.133162441695626E-02  0.143701752905302E+01  0.274984029554546E-02
     0.300000000000000E+01  0.695636525981315E+00  0.135972747329821E-02  0.143752684340240E+01  0.280986502228379E-02
     0.305000000000000E+01  0.695384690127277E+00  0.138816433443572E-02  0.143804721211736E+01  0.287070722067617E-02
     0.310000000000000E+01  0.695127618049464E+00  0.141694604394337E-02  0.143857878609539E+01  0.293239466672099E-02
     0.315000000000000E+01  0.694865246085155E+00  0.144608404442958E-02  0.143912172133461E+01  0.299495617450836E-02
     0.320000000000000E+01  0.694597508470212E+00  0.147559019842108E-02  0.143967617912334E+01  0.305842165125737E-02
     0.325000000000000E+01  0.694324337262377E+00  0.150547681054309E-02  0.144024232623978E+01  0.312282215580363E-02
     0.330000000000000E+01  0.694045662260551E+00  0.153575665109318E-02  0.144082033516212E+01  0.318818996079951E-02
     0.335000000000000E+01  0.693761410919802E+00  0.156644298111556E-02  0.144141038429002E+01  0.325455861891285E-02
     0.340000000000000E+01  0.693471508261857E+00  0.159754957909159E-02  0.144201265817795E+01  0.332196303333497E-02
     0.345000000000000E+01  0.693175876780763E+00  0.162909076937326E-02  0.144262734778136E+01  0.339043953293740E-02
     0.350000000000000E+01  0.692874436343425E+00  0.166108145249746E-02  0.144325465071627E+01  0.346002595244723E-02
     0.355000000000000E+01  0.692567104084684E+00  0.169353713753178E-02  0.144389477153341E+01  0.353076171804544E-02
     0.360000000000000E+01  0.692253794296559E+00  0.172647397661665E-02  0.144454792200768E+01  0.360268793883059E-02
     0.365000000000000E+01  0.691934418311288E+00  0.175990880188396E-02  0.144521432144418E+01  0.367584750463175E-02
     0.370000000000000E+01  0.691608884377731E+00  0.179385916494986E-02  0.144589419700164E+01  0.375028519070124E-02
     0.375000000000000E+01  0.691277097530673E+00  0.182834337919830E-02  0.144658778403478E+01  0.382604776986957E-02
     0.379999999999999E+01  0.690938959452565E+00  0.186338056509332E-02  0.144729532645669E+01  0.390318413280172E-02
     0.384999999999999E+01  0.690594368327133E+00  0.189899069878149E-02  0.144801707712275E+01  0.398174541705835E-02
     0.390000000000000E+01  0.690243218684294E+00  0.193519466427274E-02  0.144875329823767E+01  0.406178514573629E-02
     0.394999999999999E+01  0.689885401235761E+00  0.197201430951647E-02  0.144950426178722E+01  0.414335937654181E-02
     0.399999999999999E+01  0.689520802700627E+00  0.200947250672357E-02  0.145027024999657E+01  0.422652686223960E-02
     0.404999999999999E+01  0.689149305620215E+00  0.204759321732081E-02  0.145105155581722E+01  0.431134922351869E-02
     0.409999999999999E+01  0.688770788161359E+00  0.208640156196608E-02  0.145184848344468E+01  0.439789113542866E-02
     0.414999999999999E+01  0.688385123907261E+00  0.212592389609830E-02  0.145266134886914E+01  0.448622052866348E-02
     0.419999999999999E+01  0.687992181634939E+00  0.216618789154864E-02  0.145349048046198E+01  0.457640880711146E-02
     0.424999999999999E+01  0.687591825078230E+00  0.220722262479720E-02  0.145433621960063E+01  0.466853108324741E-02
     0.429999999999999E+01  0.687183912675200E+00  0.224905867252602E-02  0.145519892133506E+01  0.476266643312127E-02
     0.434999999999999E+01  0.686768297298687E+00  0.229172821519294E-02  0.145607895509925E+01  0.485889817289909E-02
     0.439999999999999E+01  0.686344825968626E+00  0.233526514943574E-02  0.145697670547125E+01  0.495731415913994E-02
