#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.408778698183182E+00  0.150072947140258E-10  0.244631142582650E+01  0.898102486573685E-10
     0.500000000000000E-01  0.408772610471687E+00  0.664136679756418E-04  0.244634779333499E+01  0.397460411821666E-03
     0.100000000000000E+00  0.408754345952292E+00  0.132842526541615E-03  0.244645691056682E+01  0.795082719714550E-03
     0.150000000000000E+00  0.408723900469147E+00  0.199301809481002E-03  0.244663882165758E+01  0.119302919096025E-02
     0.200000000000000E+00  0.408681267091890E+00  0.265806761957964E-03  0.244689360022389E+01  0.159146238671355E-02
     0.250000000000000E+00  0.408626436109697E+00  0.332372668787718E-03  0.244722134944946E+01  0.199054544481905E-02
     0.300000000000000E+00  0.408559395022949E+00  0.399014867781714E-03  0.244762220220593E+01  0.239044227422044E-02
     0.350000000000000E+00  0.408480128532490E+00  0.465748763203285E-03  0.244809632120861E+01  0.279131775124952E-02
     0.400000000000000E+00  0.408388618526448E+00  0.532589839362201E-03  0.244864389920776E+01  0.319333791827952E-02
     0.450000000000000E+00  0.408284844064602E+00  0.599553674377060E-03  0.244926515921553E+01  0.359667018523723E-02
     0.500000000000000E+00  0.408168781360250E+00  0.666655954135144E-03  0.244996035476946E+01  0.400148353448074E-02
     0.550000000000000E+00  0.408040403759558E+00  0.733912486480096E-03  0.245072977023286E+01  0.440794872956319E-02
     0.600000000000000E+00  0.407899681718323E+00  0.801339215658707E-03  0.245157372113310E+01  0.481623852842062E-02
     0.650000000000000E+00  0.407746582776129E+00  0.868952237059075E-03  0.245249255453829E+01  0.522652790153939E-02
     0.700000000000000E+00  0.407581071527819E+00  0.936767812273636E-03  0.245348664947369E+01  0.563899425568190E-02
     0.750000000000000E+00  0.407403109592240E+00  0.100480238452177E-02  0.245455641737847E+01  0.605381766377191E-02
     0.800000000000000E+00  0.407212655578170E+00  0.107307259446827E-02  0.245570230260426E+01  0.647118110156918E-02
     0.850000000000000E+00  0.407009665047394E+00  0.114159529647532E-02  0.245692478295656E+01  0.689127069179120E-02
