#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.445146583450021E+00  0.219866689926641E-11  0.224645102799553E+01  0.110956653374636E-10
     0.500000000000000E-01  0.445141107141383E+00  0.597336516434464E-04  0.224647862430582E+01  0.301455806745145E-03
     0.100000000000000E+00  0.445124677058896E+00  0.119479986380749E-03  0.224656142310181E+01  0.603020102163883E-03
     0.150000000000000E+00  0.445097289731971E+00  0.179251701367190E-03  0.224669945398897E+01  0.904801509420047E-03
     0.200000000000000E+00  0.445058939373391E+00  0.239061510905332E-03  0.224689276634341E+01  0.120690886542034E-02
     0.250000000000000E+00  0.445009617874936E+00  0.298922158359584E-03  0.224714142936250E+01  0.150945134492140E-02
     0.300000000000000E+00  0.444949314801260E+00  0.358846425923734E-03  0.224744553213588E+01  0.181253857425412E-02
     0.350000000000000E+00  0.444878017381993E+00  0.418847144457622E-03  0.224780518373693E+01  0.211628074600245E-02
     0.400000000000000E+00  0.444795710502066E+00  0.478937203410653E-03  0.224822051333512E+01  0.242078873488188E-02
     0.450000000000000E+00  0.444702376690234E+00  0.539129560850121E-03  0.224869167032912E+01  0.272617421506686E-02
     0.500000000000000E+00  0.444597996105775E+00  0.599437253612707E-03  0.224921882450135E+01  0.303254977922196E-02
     0.550000000000000E+00  0.444482546523359E+00  0.659873407597868E-03  0.224980216619392E+01  0.334002905949746E-02
     0.600000000000000E+00  0.444356003316023E+00  0.720451248222338E-03  0.225044190650665E+01  0.364872685075776E-02
     0.650000000000000E+00  0.444218339436273E+00  0.781184111055493E-03  0.225113827751734E+01  0.395875923631842E-02
     0.700000000000000E+00  0.444069525395228E+00  0.842085452655934E-03  0.225189153252495E+01  0.427024371647799E-02
     0.750000000000000E+00  0.443909529239813E+00  0.903168861630308E-03  0.225270194631601E+01  0.458329934013982E-02
     0.800000000000000E+00  0.443738316527911E+00  0.964448069936192E-03  0.225356981545514E+01  0.489804683983259E-02
     0.850000000000000E+00  0.443555850301490E+00  0.102593696445163E-02  0.225449545859986E+01  0.521460877044858E-02
     0.900000000000000E+00  0.443362091057591E+00  0.108764959883492E-02  0.225547921684087E+01  0.553310965203567E-02
     0.950000000000000E+00  0.443156996717176E+00  0.114960020569911E-02  0.225652145406819E+01  0.585367611699202E-02
     0.100000000000000E+01  0.442940522591739E+00  0.121180320912706E-02  0.225762255736409E+01  0.617643706203203E-02
     0.105000000000000E+01  0.442712621347654E+00  0.127427323755373E-02  0.225878293742372E+01  0.650152380530796E-02
     0.110000000000000E+01  0.442473242968150E+00  0.133702513704404E-02  0.226000302900439E+01  0.682907024909538E-02
     0.115000000000000E+01  0.442222334712889E+00  0.140007398499590E-02  0.226128329140431E+01  0.715921304846931E-02
     0.120000000000000E+01  0.441959841075007E+00  0.146343510429958E-02  0.226262420897233E+01  0.749209178642596E-02
     0.125000000000000E+01  0.441685703735622E+00  0.152712407798634E-02  0.226402629164931E+01  0.782784915592672E-02
     0.130000000000000E+01  0.441399861515614E+00  0.159115676440103E-02  0.226549007554284E+01  0.816663114937538E-02
     0.135000000000000E+01  0.441102250324674E+00  0.165554931293544E-02  0.226701612353637E+01  0.850858725606518E-02
     0.140000000000000E+01  0.440792803107466E+00  0.172031818036117E-02  0.226860502593443E+01  0.885387066817025E-02
     0.145000000000000E+01  0.440471449786804E+00  0.178548014780349E-02  0.227025740114522E+01  0.920263849589048E-02
     0.150000000000000E+01  0.440138117203738E+00  0.185105233839966E-02  0.227197389640256E+01  0.955505199240044E-02
     0.155000000000000E+01  0.439792729054419E+00  0.191705223568861E-02  0.227375518852868E+01  0.991127678929435E-02
     0.160000000000000E+01  0.439435205823591E+00  0.198349770278116E-02  0.227560198473997E+01  0.102714831432691E-01
     0.165000000000000E+01  0.439065464714611E+00  0.205040700236393E-02  0.227751502349761E+01  0.106358461948354E-01
     0.170000000000000E+01  0.438683419575793E+00  0.211779881759286E-02  0.227949507540532E+01  0.110045462399065E-01
     0.175000000000000E+01  0.438288980822963E+00  0.218569227393677E-02  0.228154294415649E+01  0.113777690151696E-01
     0.180000000000000E+01  0.437882055358010E+00  0.225410696203500E-02  0.228365946753331E+01  0.117557059982175E-01
