# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.05942670299044345  0.251114212204467E+01  0.398225170619081E+00
0.20  0.1188534059808869  0.248649429258551E+01  0.402172650458884E+00
0.30  0.17828010897133034  0.244631142582650E+01  0.408778698183182E+00
0.45  0.26742016345699554  0.235963360367518E+01  0.423794608808113E+00
0.60  0.3565602179426607  0.224645102799553E+01  0.445146583450021E+00
0.80  0.4754136239235476  0.206804360150819E+01  0.483548799102068E+00
1.30  0.7725471388757649  0.163778858322392E+01  0.610579418029367E+00
1.70  1.0102539508375386  0.142309586724376E+01  0.702693348366467E+00
