#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.490481349669030E+00  0.364967776308616E-09  0.203881350570167E+01  0.151708364035864E-08
     0.500000000000000E-01  0.490478737143058E+00  0.284689149890662E-04  0.203882435853550E+01  0.118339721878413E-03
     0.100000000000000E+00  0.490470899267911E+00  0.569407138518904E-04  0.203885691896260E+01  0.236698993927838E-03
     0.150000000000000E+00  0.490457835151577E+00  0.854190116967149E-04  0.203891119276058E+01  0.355100411372068E-03
     0.200000000000000E+00  0.490439543306978E+00  0.113907061251557E-03  0.203898718956206E+01  0.473565074150662E-03
     0.250000000000000E+00  0.490416021651384E+00  0.142408119128618E-03  0.203908492285964E+01  0.592114114930738E-03
     0.300000000000000E+00  0.490387267505580E+00  0.170925447124340E-03  0.203920441001287E+01  0.710768710069351E-03
     0.350000000000000E+00  0.490353277592808E+00  0.199462313524052E-03  0.203934567225718E+01  0.829550090621536E-03
     0.400000000000000E+00  0.490314048037465E+00  0.228021994412354E-03  0.203950873471484E+01  0.948479553405654E-03
     0.450000000000000E+00  0.490269574363559E+00  0.256607774990405E-03  0.203969362640790E+01  0.106757847213769E-02
     0.500000000000000E+00  0.490219851492937E+00  0.285222950901308E-03  0.203990038027321E+01  0.118686830864623E-02
     0.550000000000000E+00  0.490164873743251E+00  0.313870829564767E-03  0.204012903317950E+01  0.130637062418027E-02
     0.600000000000000E+00  0.490104634825696E+00  0.342554731522228E-03  0.204037962594644E+01  0.142610709082170E-02
     0.650000000000000E+00  0.490039127842502E+00  0.371277991793733E-03  0.204065220336585E+01  0.154609950301487E-02
     0.700000000000000E+00  0.489968345284161E+00  0.400043961247715E-03  0.204094681422505E+01  0.166636978922583E-02
     0.750000000000000E+00  0.489892279026426E+00  0.428856007985007E-03  0.204126351133224E+01  0.178694002374384E-02
     0.800000000000000E+00  0.489810920327036E+00  0.457717518738352E-03  0.204160235154413E+01  0.190783243863822E-02
     0.850000000000000E+00  0.489724259822205E+00  0.486631900288686E-03  0.204196339579570E+01  0.202906943588369E-02
     0.900000000000000E+00  0.489632287522836E+00  0.515602580899602E-03  0.204234670913221E+01  0.215067359966792E-02
     0.950000000000000E+00  0.489534992810467E+00  0.544633011771277E-03  0.204275236074352E+01  0.227266770889527E-02
     0.100000000000000E+01  0.489432364432983E+00  0.573726668515318E-03  0.204318042400049E+01  0.239507474990046E-02
     0.105000000000000E+01  0.489324390500013E+00  0.602887052651942E-03  0.204363097649401E+01  0.251791792938769E-02
     0.110000000000000E+01  0.489211058478089E+00  0.632117693130923E-03  0.204410410007619E+01  0.264122068760940E-02
     0.115000000000000E+01  0.489092355185505E+00  0.661422147877884E-03  0.204459988090396E+01  0.276500671180077E-02
     0.120000000000000E+01  0.488968266786899E+00  0.690804005367379E-03  0.204511840948533E+01  0.288929994988558E-02
     0.125000000000000E+01  0.488838778787553E+00  0.720266886224471E-03  0.204565978072790E+01  0.301412462447024E-02
     0.130000000000000E+01  0.488703876027382E+00  0.749814444856352E-03  0.204622409399017E+01  0.313950524714268E-02
     0.135000000000000E+01  0.488563542674644E+00  0.779450371115743E-03  0.204681145313530E+01  0.326546663309404E-02
     0.140000000000000E+01  0.488417762219325E+00  0.809178391997801E-03  0.204742196658769E+01  0.339203391608114E-02
     0.145000000000000E+01  0.488266517466229E+00  0.839002273372339E-03  0.204805574739219E+01  0.351923256374871E-02
     0.150000000000000E+01  0.488109790527736E+00  0.868925821753216E-03  0.204871291327621E+01  0.364708839333106E-02
     0.155000000000000E+01  0.487947562816250E+00  0.898952886106807E-03  0.204939358671469E+01  0.377562758775315E-02
     0.160000000000000E+01  0.487779815036291E+00  0.929087359701594E-03  0.205009789499798E+01  0.390487671215292E-02
     0.165000000000000E+01  0.487606527176282E+00  0.959333182000861E-03  0.205082597030284E+01  0.403486273084559E-02
     0.170000000000000E+01  0.487427678499951E+00  0.989694340600716E-03  0.205157794976648E+01  0.416561302475422E-02
     0.175000000000000E+01  0.487243247537400E+00  0.102017487321559E-02  0.205235397556385E+01  0.429715540932901E-02
     0.180000000000000E+01  0.487053212075804E+00  0.105077886971361E-02  0.205315419498822E+01  0.442951815298101E-02
     0.185000000000000E+01  0.486857549149729E+00  0.108151047420409E-02  0.205397876053510E+01  0.456272999605532E-02
     0.190000000000000E+01  0.486656235031083E+00  0.111237388717978E-02  0.205482782998973E+01  0.469682017037115E-02
     0.195000000000000E+01  0.486449245218644E+00  0.114337336771645E-02  0.205570156651807E+01  0.483181841935698E-02
     0.200000000000000E+01  0.486236554427216E+00  0.117451323573231E-02  0.205660013876161E+01  0.496775501880943E-02
     0.205000000000000E+01  0.486018136576346E+00  0.120579787431041E-02  0.205752372093583E+01  0.510466079830738E-02
     0.210000000000000E+01  0.485793964778623E+00  0.123723173208665E-02  0.205847249293277E+01  0.524256716331277E-02
     0.215000000000000E+01  0.485564011327538E+00  0.126881932570652E-02  0.205944664042758E+01  0.538150611799198E-02
     0.220000000000000E+01  0.485328247684889E+00  0.130056524235398E-02  0.206044635498922E+01  0.552151028879286E-02
     0.225000000000000E+01  0.485086644467723E+00  0.133247414235542E-02  0.206147183419560E+01  0.566261294881395E-02
     0.230000000000000E+01  0.484839171434794E+00  0.136455076186250E-02  0.206252328175317E+01  0.580484804300501E-02
     0.235000000000000E+01  0.484585797472538E+00  0.139679991561736E-02  0.206360090762106E+01  0.594825021423860E-02
     0.240000000000000E+01  0.484326490580528E+00  0.142922649980396E-02  0.206470492814010E+01  0.609285483029554E-02
     0.245000000000000E+01  0.484061217856405E+00  0.146183549498959E-02  0.206583556616685E+01  0.623869801180904E-02
     0.250000000000000E+01  0.483789945480279E+00  0.149463196916073E-02  0.206699305121262E+01  0.638581666121336E-02
     0.255000000000000E+01  0.483512638698557E+00  0.152762108085749E-02  0.206817761958792E+01  0.653424849274701E-02
     0.260000000000000E+01  0.483229261807203E+00  0.156080808241127E-02  0.206938951455242E+01  0.668403206356159E-02
     0.265000000000000E+01  0.482939778134400E+00  0.159419832329042E-02  0.207062898647060E+01  0.683520680599090E-02
     0.270000000000000E+01  0.482644150022594E+00  0.162779725355887E-02  0.207189629297336E+01  0.698781306103671E-02
     0.275000000000000E+01  0.482342338809908E+00  0.166161042745297E-02  0.207319169912573E+01  0.714189211313228E-02
     0.280000000000000E+01  0.482034304810886E+00  0.169564350708209E-02  0.207451547760108E+01  0.729748622624614E-02
     0.285000000000000E+01  0.481720007296571E+00  0.172990226625876E-02  0.207586790886186E+01  0.745463868139303E-02
     0.290000000000000E+01  0.481399404473865E+00  0.176439259446437E-02  0.207724928134725E+01  0.761339381562217E-02
     0.295000000000000E+01  0.481072453464168E+00  0.179912050095687E-02  0.207865989166810E+01  0.777379706255703E-02
     0.300000000000000E+01  0.480739110281256E+00  0.183409211902716E-02  0.208010004480911E+01  0.793589499456456E-02
     0.305000000000000E+01  0.480399329808381E+00  0.186931371041124E-02  0.208157005433895E+01  0.809973536663620E-02
     0.310000000000000E+01  0.480053065774551E+00  0.190479166986549E-02  0.208307024262836E+01  0.826536716206828E-02
     0.315000000000000E+01  0.479700270729980E+00  0.194053252991299E-02  0.208460094107660E+01  0.843284064003251E-02
     0.320000000000000E+01  0.479340896020653E+00  0.197654296576901E-02  0.208616249034678E+01  0.860220738513501E-02
     0.325000000000000E+01  0.478974891761996E+00  0.201282980045445E-02  0.208775524061011E+01  0.877352035906532E-02
