# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.08261913618908068  0.203881350570167E+01  0.490481349669030E+00
0.20  0.16523827237816135  0.201826718879262E+01  0.495474536549458E+00
0.30  0.24785740856724203  0.198529055446818E+01  0.503704607745882E+00
0.45  0.37178611285086305  0.191627724270202E+01  0.521845157744485E+00
0.60  0.49571481713448406  0.182999806848310E+01  0.546448664193896E+00
0.80  0.6609530895126454  0.170090948451669E+01  0.587920761864733E+00
1.30  1.0740487704580488  0.140587588639569E+01  0.711300342851564E+00
1.70  1.4045253152143715  0.125908965505024E+01  0.794224617753769E+00
