#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.546448664193896E+00  -.272990419751004E-10  0.182999806848310E+01  -.914215686839827E-10
     0.500000000000000E-01  0.546446514961430E+00  0.234178545163533E-04  0.183000526269995E+01  0.784245041970726E-04
     0.100000000000000E+00  0.546440067039418E+00  0.468381899077668E-04  0.183002684644056E+01  0.156861017593923E-03
     0.150000000000000E+00  0.546429319753952E+00  0.702634333333377E-04  0.183006282297552E+01  0.235321371876350E-03
     0.200000000000000E+00  0.546414271981578E+00  0.936960410170346E-04  0.183011319775750E+01  0.313817500814994E-03
     0.250000000000000E+00  0.546394922148905E+00  0.117138471833347E-03  0.183017797842358E+01  0.392361354187617E-03
     0.300000000000000E+00  0.546371268232032E+00  0.140593188194104E-03  0.183025717479870E+01  0.470964903137630E-03
     0.350000000000000E+00  0.546343307755821E+00  0.164062656938149E-03  0.183035079890008E+01  0.549640145552258E-03
     0.400000000000000E+00  0.546311037793017E+00  0.187549350224573E-03  0.183045886494248E+01  0.628399111465216E-03
     0.450000000000000E+00  0.546274454963191E+00  0.211055746430247E-03  0.183058138934465E+01  0.707253868489029E-03
     0.500000000000000E+00  0.546233555431523E+00  0.234584331052372E-03  0.183071839073659E+01  0.786216527281902E-03
     0.550000000000000E+00  0.546188334907427E+00  0.258137597616801E-03  0.183086988996794E+01  0.865299247054339E-03
     0.600000000000000E+00  0.546138788642998E+00  0.281718048592854E-03  0.183103591011730E+01  0.944514241120640E-03
     0.650000000000000E+00  0.546084911431303E+00  0.305328196315416E-03  0.183121647650260E+01  0.102387378250048E-02
     0.700000000000000E+00  0.546026697604498E+00  0.328970563915045E-03  0.183141161669246E+01  0.110339020957594E-02
     0.750000000000000E+00  0.545964141031768E+00  0.352647686256911E-03  0.183162136051866E+01  0.118307593180933E-02
     0.800000000000000E+00  0.545897235117114E+00  0.376362110889319E-03  0.183184574008954E+01  0.126294343552738E-02
     0.850000000000000E+00  0.545825972796941E+00  0.400116399002655E-03  0.183208478980457E+01  0.134300528977732E-02
     0.900000000000000E+00  0.545750346537496E+00  0.423913126399537E-03  0.183233854636994E+01  0.142327415226056E-02
     0.950000000000000E+00  0.545670348332106E+00  0.447754884477058E-03  0.183260704881522E+01  0.150376277535002E-02
     0.100000000000000E+01  0.545585969698250E+00  0.471644281221929E-03  0.183289033851118E+01  0.158448401219672E-02
     0.105000000000000E+01  0.545497201674446E+00  0.495583942219426E-03  0.183318845918868E+01  0.166545082293214E-02
     0.110000000000000E+01  0.545404034816944E+00  0.519576511677023E-03  0.183350145695872E+01  0.174667628097231E-02
     0.115000000000000E+01  0.545306459196249E+00  0.543624653463646E-03  0.183382938033361E+01  0.182817357943037E-02
     0.120000000000000E+01  0.545204464393434E+00  0.567731052165456E-03  0.183417228024938E+01  0.190995603764399E-02
     0.125000000000000E+01  0.545098039496267E+00  0.591898414159180E-03  0.183453021008938E+01  0.199203710782462E-02
     0.130000000000000E+01  0.544987173095148E+00  0.616129468703913E-03  0.183490322570899E+01  0.207443038183543E-02
     0.135000000000000E+01  0.544871853278837E+00  0.640426969052487E-03  0.183529138546174E+01  0.215714959810543E-02
     0.140000000000000E+01  0.544752067629974E+00  0.664793693583411E-03  0.183569475022658E+01  0.224020864868702E-02
     0.145000000000000E+01  0.544627803220409E+00  0.689232446954471E-03  0.183611338343649E+01  0.232362158646469E-02
     0.150000000000000E+01  0.544499046606297E+00  0.713746061279149E-03  0.183654735110842E+01  0.240740263252305E-02
     0.155000000000000E+01  0.544365783822991E+00  0.738337397326945E-03  0.183699672187456E+01  0.249156618368215E-02
     0.160000000000000E+01  0.544228000379714E+00  0.763009345748871E-03  0.183746156701502E+01  0.257612682020887E-02
     0.165000000000000E+01  0.544085681254001E+00  0.787764828329298E-03  0.183794196049191E+01  0.266109931371305E-02
     0.170000000000000E+01  0.543938810885913E+00  0.812606799265446E-03  0.183843797898488E+01  0.274649863523763E-02
     0.175000000000000E+01  0.543787373172013E+00  0.837538246475855E-03  0.183894970192813E+01  0.283233996355222E-02
     0.180000000000000E+01  0.543631351459108E+00  0.862562192939183E-03  0.183947721154899E+01  0.291863869366021E-02
     0.185000000000000E+01  0.543470728537739E+00  0.887681698064756E-03  0.184002059290800E+01  0.300541044552921E-02
     0.190000000000000E+01  0.543305486635420E+00  0.912899859096359E-03  0.184057993394065E+01  0.309267107305605E-02
     0.195000000000000E+01  0.543135607409616E+00  0.938219812550776E-03  0.184115532550075E+01  0.318043667327711E-02
     0.200000000000000E+01  0.542961071940467E+00  0.963644735692658E-03  0.184174686140549E+01  0.326872359583538E-02
     0.205000000000000E+01  0.542781860723224E+00  0.989177848047425E-03  0.184235463848223E+01  0.335754845271687E-02
     0.210000000000000E+01  0.542597953660422E+00  0.101482241295382E-02  0.184297875661712E+01  0.344692812826811E-02
     0.215000000000000E+01  0.542409330053763E+00  0.104058173915801E-02  0.184361931880552E+01  0.353687978950843E-02
     0.220000000000000E+01  0.542215968595692E+00  0.106645918245101E-02  0.184427643120436E+01  0.362742089675057E-02
     0.225000000000000E+01  0.542017847360696E+00  0.109245814735138E-02  0.184495020318639E+01  0.371856921454335E-02
     0.230000000000000E+01  0.541814943796272E+00  0.111858208883525E-02  0.184564074739654E+01  0.381034282295202E-02
     0.235000000000000E+01  0.541607234713589E+00  0.114483451411578E-02  0.184634817981026E+01  0.390276012919108E-02
     0.240000000000000E+01  0.541394696277815E+00  0.117121898447410E-02  0.184707261979406E+01  0.399583987962641E-02
     0.245000000000000E+01  0.541177303998114E+00  0.119773911714431E-02  0.184781419016823E+01  0.408960117216324E-02
     0.250000000000000E+01  0.540955032717289E+00  0.122439858725459E-02  0.184857301727187E+01  0.418406346903793E-02
     0.255000000000000E+01  0.540727856601070E+00  0.125120112982718E-02  0.184934923103022E+01  0.427924661003207E-02
