#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.711300342851564E+00  -.276252597700237E-10  0.140587588639569E+01  -.546009670266643E-10
     0.500000000000000E-01  0.711299391408230E+00  0.103644483105686E-04  0.140587776661510E+01  0.204852522286178E-04
     0.100000000000000E+00  0.711296537000603E+00  0.207297714448208E-04  0.140588340745683E+01  0.409725623542873E-04
     0.150000000000000E+00  0.711291779395814E+00  0.310967892138223E-04  0.140589280947137E+01  0.614638796901255E-04
     0.200000000000000E+00  0.711285118205671E+00  0.414663495313228E-04  0.140590597357643E+01  0.819612093889440E-04
     0.250000000000000E+00  0.711276552886556E+00  0.518393010275856E-04  0.140592290105716E+01  0.102466558462673E-03
     0.300000000000000E+00  0.711266082739267E+00  0.622164932889286E-04  0.140594359356662E+01  0.122981936403982E-03
     0.350000000000000E+00  0.711253706908825E+00  0.725987770978725E-04  0.140596805312620E+01  0.143509355809549E-03
     0.400000000000000E+00  0.711239424384233E+00  0.829870046740442E-04  0.140599628212634E+01  0.164050833005390E-03
     0.450000000000000E+00  0.711223233998191E+00  0.933820299159923E-04  0.140602828332720E+01  0.184608388674667E-03
     0.500000000000000E+00  0.711205134426768E+00  0.103784708644067E-03  0.140606405985951E+01  0.205184048488389E-03
     0.550000000000000E+00  0.711185124189027E+00  0.114195898844520E-03  0.140610361522561E+01  0.225779843739448E-03
     0.600000000000000E+00  0.711163201646608E+00  0.124616460914987E-03  0.140614695330046E+01  0.246397811980392E-03
     0.650000000000000E+00  0.711139365003269E+00  0.135047257911497E-03  0.140619407833285E+01  0.267039997665385E-03
     0.700000000000000E+00  0.711113612304370E+00  0.145489155797190E-03  0.140624499494677E+01  0.287708452796794E-03
     0.750000000000000E+00  0.711085941436327E+00  0.155943023692887E-03  0.140629970814280E+01  0.308405237576828E-03
     0.800000000000000E+00  0.711056350126008E+00  0.166409734129684E-03  0.140635822329967E+01  0.329132421064688E-03
     0.850000000000000E+00  0.711024835940090E+00  0.176890163303741E-03  0.140642054617596E+01  0.349892081839689E-03
     0.900000000000000E+00  0.710991396284362E+00  0.187385191333427E-03  0.140648668291188E+01  0.370686308670816E-03
     0.950000000000000E+00  0.710956028402990E+00  0.197895702519005E-03  0.140655664003119E+01  0.391517201193159E-03
     0.100000000000000E+01  0.710918729377729E+00  0.208422585605010E-03  0.140663042444327E+01  0.412386870591742E-03
     0.105000000000000E+01  0.710879496127084E+00  0.218966734045536E-03  0.140670804344525E+01  0.433297440293210E-03
     0.110000000000000E+01  0.710838325405430E+00  0.229529046272572E-03  0.140678950472435E+01  0.454251046665888E-03
     0.115000000000000E+01  0.710795213802073E+00  0.240110425967597E-03  0.140687481636028E+01  0.475249839728686E-03
     0.120000000000000E+01  0.710750157740274E+00  0.250711782336629E-03  0.140696398682781E+01  0.496295983869412E-03
     0.125000000000000E+01  0.710703153476211E+00  0.261334030388898E-03  0.140705702499943E+01  0.517391658572995E-03
     0.130000000000000E+01  0.710654197097891E+00  0.271978091219361E-03  0.140715394014823E+01  0.538539059160164E-03
     0.135000000000000E+01  0.710603284524020E+00  0.282644892295256E-03  0.140725474195079E+01  0.559740397537138E-03
     0.140000000000000E+01  0.710550411502806E+00  0.293335367746897E-03  0.140735944049034E+01  0.580997902956909E-03
     0.145000000000000E+01  0.710495573610724E+00  0.304050458662932E-03  0.140746804625992E+01  0.602313822792673E-03
     0.150000000000000E+01  0.710438766251211E+00  0.314791113390277E-03  0.140758057016584E+01  0.623690423324041E-03
     0.155000000000000E+01  0.710379984653316E+00  0.325558287838956E-03  0.140769702353116E+01  0.645129990536621E-03
     0.160000000000000E+01  0.710319223870297E+00  0.336352945792057E-03  0.140781741809934E+01  0.666634830935601E-03
     0.165000000000000E+01  0.710256478778144E+00  0.347176059221082E-03  0.140794176603811E+01  0.688207272374019E-03
     0.170000000000000E+01  0.710191744074069E+00  0.358028608606883E-03  0.140807007994339E+01  0.709849664896327E-03
     0.175000000000000E+01  0.710125014274910E+00  0.368911583266479E-03  0.140820237284346E+01  0.731564381597999E-03
     0.180000000000000E+01  0.710056283715500E+00  0.379825981685991E-03  0.140833865820321E+01  0.753353819501855E-03
     0.185000000000000E+01  0.709985546546955E+00  0.390772811859956E-03  0.140847894992861E+01  0.775220400451857E-03
     0.190000000000000E+01  0.709912796734910E+00  0.401753091637316E-03  0.140862326237130E+01  0.797166572025091E-03
     0.195000000000000E+01  0.709838028057690E+00  0.412767849074339E-03  0.140877161033340E+01  0.819194808462773E-03
     0.200000000000000E+01  0.709761234104416E+00  0.423818122794789E-03  0.140892400907243E+01  0.841307611621035E-03
     0.205000000000000E+01  0.709682408273038E+00  0.434904962357630E-03  0.140908047430642E+01  0.863507511942351E-03
     0.210000000000000E+01  0.709601543768313E+00  0.446029428632586E-03  0.140924102221928E+01  0.885797069448452E-03
     0.215000000000000E+01  0.709518633599699E+00  0.457192594183870E-03  0.140940566946622E+01  0.908178874755616E-03
     0.220000000000000E+01  0.709433670579194E+00  0.468395543662424E-03  0.140957443317945E+01  0.930655550113253E-03
     0.225000000000000E+01  0.709346647319092E+00  0.479639374207019E-03  0.140974733097405E+01  0.953229750466756E-03
     0.230000000000000E+01  0.709257556229663E+00  0.490925195854556E-03  0.140992438095400E+01  0.975904164545593E-03
     0.235000000000000E+01  0.709166389516769E+00  0.502254131959966E-03  0.141010560171850E+01  0.998681515977660E-03
     0.240000000000000E+01  0.709073139179395E+00  0.513627319626053E-03  0.141029101236838E+01  0.102156456443095E-02
     0.245000000000000E+01  0.708977797007096E+00  0.525045910143734E-03  0.141048063251278E+01  0.104455610678365E-02
     0.250000000000000E+01  0.708880354577376E+00  0.536511069443018E-03  0.141067448227610E+01  0.106765897832385E-02
     0.255000000000000E+01  0.708780803252974E+00  0.548023978555238E-03  0.141087258230504E+01  0.109087605397990E-02
     0.260000000000000E+01  0.708679134179065E+00  0.559585834086895E-03  0.141107495377598E+01  0.111421024958291E-02
     0.265000000000000E+01  0.708575338280381E+00  0.571197848705639E-03  0.141128161840255E+01  0.113766452316235E-02
     0.270000000000000E+01  0.708469406258232E+00  0.582861251638842E-03  0.141149259844343E+01  0.116124187627635E-02
     0.275000000000000E+01  0.708361328587445E+00  0.594577289185260E-03  0.141170791671041E+01  0.118494535537795E-02
     0.280000000000000E+01  0.708251095513202E+00  0.606347225240312E-03  0.141192759657672E+01  0.120877805321878E-02
     0.285000000000000E+01  0.708138697047784E+00  0.618172341835513E-03  0.141215166198554E+01  0.123274311029158E-02
     0.290000000000000E+01  0.708024122967219E+00  0.630053939692620E-03  0.141238013745891E+01  0.125684371631331E-02
     0.295000000000000E+01  0.707907362807817E+00  0.641993338793081E-03  0.141261304810677E+01  0.128108311175023E-02
     0.300000000000000E+01  0.707788405862611E+00  0.653991878963394E-03  0.141285041963639E+01  0.130546458938687E-02
     0.305000000000000E+01  0.707667241177689E+00  0.666050920477003E-03  0.141309227836201E+01  0.132999149594045E-02
     0.310000000000000E+01  0.707543857548406E+00  0.678171844673405E-03  0.141333865121486E+01  0.135466723372272E-02
     0.315000000000000E+01  0.707418243515494E+00  0.690356054595150E-03  0.141358956575339E+01  0.137949526235113E-02
     0.320000000000000E+01  0.707290387361042E+00  0.702604975643452E-03  0.141384505017391E+01  0.140447910051120E-02
     0.325000000000000E+01  0.707160277104372E+00  0.714920056253167E-03  0.141410513332147E+01  0.142962232777233E-02
     0.330000000000000E+01  0.707027900497770E+00  0.727302768587900E-03  0.141436984470115E+01  0.145492858645913E-02
     0.335000000000000E+01  0.706893245022105E+00  0.739754609256105E-03  0.141463921448964E+01  0.148040158358060E-02
     0.340000000000000E+01  0.706756297882310E+00  0.752277100048959E-03  0.141491327354721E+01  0.150604509281942E-02
     0.345000000000000E+01  0.706617046002726E+00  0.764871788700969E-03  0.141519205343000E+01  0.153186295658402E-02
     0.350000000000000E+01  0.706475476022309E+00  0.777540249674203E-03  0.141547558640277E+01  0.155785908812579E-02
     0.355000000000000E+01  0.706331574289689E+00  0.790284084967145E-03  0.141576390545195E+01  0.158403747372438E-02
     0.360000000000000E+01  0.706185326858082E+00  0.803104924949135E-03  0.141605704429915E+01  0.161040217494367E-02
     0.365000000000000E+01  0.706036719480049E+00  0.816004429221564E-03  0.141635503741506E+01  0.163695733096162E-02
     0.370000000000000E+01  0.705885737602092E+00  0.828984287506805E-03  0.141665792003380E+01  0.166370716097694E-02
     0.375000000000000E+01  0.705732366359094E+00  0.842046220566158E-03  0.141696572816771E+01  0.169065596669586E-02
     0.379999999999999E+01  0.705576590568583E+00  0.855191981147974E-03  0.141727849862255E+01  0.171780813490245E-02
     0.384999999999999E+01  0.705418394724821E+00  0.868423354967234E-03  0.141759626901326E+01  0.174516814011600E-02
