#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.503704607745882E+00  -.865280053770318E-10  0.198529055446818E+01  -.341039627452956E-09
     0.500000000000000E-01  0.503702108635175E+00  0.272319176529922E-04  0.198530039865571E+01  0.107332361818247E-03
     0.100000000000000E+00  0.503694611024706E+00  0.544669627927192E-04  0.198532993289816E+01  0.214683439567576E-03
     0.150000000000000E+00  0.503682114079463E+00  0.817080910262275E-04  0.198537916223566E+01  0.322071276257259E-03
     0.200000000000000E+00  0.503664616407405E+00  0.108958346850636E-03  0.198544809507117E+01  0.429514274279918E-03
     0.250000000000000E+00  0.503642116058918E+00  0.136220778308714E-03  0.198553674317470E+01  0.537030863566949E-03
     0.300000000000000E+00  0.503614610526064E+00  0.163498438175527E-03  0.198564512168912E+01  0.644639510811461E-03
     0.350000000000000E+00  0.503582096741611E+00  0.190794385149181E-03  0.198577324913773E+01  0.752358728728446E-03
     0.400000000000000E+00  0.503544571077847E+00  0.218111685046687E-03  0.198592114743341E+01  0.860207085361641E-03
     0.450000000000000E+00  0.503502029345163E+00  0.245453412006009E-03  0.198608884188964E+01  0.968203213446604E-03
     0.500000000000000E+00  0.503454466790443E+00  0.272822649695319E-03  0.198627636123301E+01  0.107636581983952E-02
     0.550000000000000E+00  0.503401878095208E+00  0.300222492530556E-03  0.198648373761763E+01  0.118471369502159E-02
     0.600000000000000E+00  0.503344257373545E+00  0.327656046902342E-03  0.198671100664121E+01  0.129326572268875E-02
     0.650000000000000E+00  0.503281598169821E+00  0.355126432413343E-03  0.198695820736286E+01  0.140204088943679E-02
     0.700000000000000E+00  0.503213893456153E+00  0.382636783127211E-03  0.198722538232273E+01  0.151105829455197E-02
     0.750000000000000E+00  0.503141135629670E+00  0.410190248830196E-03  0.198751257756339E+01  0.162033715991756E-02
     0.800000000000000E+00  0.503063316509522E+00  0.437789996306601E-03  0.198781984265303E+01  0.172989684004674E-02
     0.850000000000000E+00  0.502980427333676E+00  0.465439210629223E-03  0.198814723071050E+01  0.183975683225281E-02
     0.900000000000000E+00  0.502892458755463E+00  0.493141096466000E-03  0.198849479843224E+01  0.194993678696749E-02
     0.950000000000000E+00  0.502799400839886E+00  0.520898879404040E-03  0.198886260612103E+01  0.206045651821879E-02
     0.100000000000000E+01  0.502701243059693E+00  0.548715807292317E-03  0.198925071771677E+01  0.217133601427989E-02
     0.105000000000000E+01  0.502597974291196E+00  0.576595151604281E-03  0.198965920082907E+01  0.228259544850097E-02
     0.110000000000000E+01  0.502489582809844E+00  0.604540208821690E-03  0.199008812677196E+01  0.239425519033610E-02
     0.115000000000000E+01  0.502376056285541E+00  0.632554301840999E-03  0.199053757060053E+01  0.250633581657768E-02
     0.120000000000000E+01  0.502257381777708E+00  0.660640781403725E-03  0.199100761114967E+01  0.261885812281169E-02
     0.125000000000000E+01  0.502133545730077E+00  0.688803027552113E-03  0.199149833107492E+01  0.273184313510647E-02
     0.130000000000000E+01  0.502004533965225E+00  0.717044451111662E-03  0.199200981689541E+01  0.284531212194939E-02
     0.135000000000000E+01  0.501870331678828E+00  0.745368495201936E-03  0.199254215903909E+01  0.295928660644523E-02
     0.140000000000000E+01  0.501730923433650E+00  0.773778636777235E-03  0.199309545189008E+01  0.307378837879097E-02
     0.145000000000000E+01  0.501586293153230E+00  0.802278388198733E-03  0.199366979383842E+01  0.318883950904250E-02
     0.150000000000000E+01  0.501436424115299E+00  0.830871298839711E-03  0.199426528733208E+01  0.330446236018857E-02
     0.155000000000000E+01  0.501281298944890E+00  0.859560956725608E-03  0.199488203893141E+01  0.342067960154869E-02
     0.160000000000000E+01  0.501120899607153E+00  0.888350990210649E-03  0.199552015936607E+01  0.353751422251170E-02
     0.165000000000000E+01  0.500955207399859E+00  0.917245069692861E-03  0.199617976359445E+01  0.365498954663264E-02
     0.170000000000000E+01  0.500784202945585E+00  0.946246909369417E-03  0.199686097086567E+01  0.377312924610637E-02
     0.175000000000000E+01  0.500607866183588E+00  0.975360269034220E-03  0.199756390478430E+01  0.389195735663680E-02
     0.180000000000000E+01  0.500426176361332E+00  0.100458895591980E-02  0.199828869337777E+01  0.401149829272166E-02
     0.185000000000000E+01  0.500239112025693E+00  0.103393682658563E-02  0.199903546916655E+01  0.413177686337332E-02
     0.190000000000000E+01  0.500046651013804E+00  0.106340778885504E-02  0.199980436923735E+01  0.425281828829732E-02
     0.195000000000000E+01  0.499848770443547E+00  0.109300580380310E-02  0.200059553531912E+01  0.437464821455097E-02
     0.200000000000000E+01  0.499645446703688E+00  0.112273488779771E-02  0.200140911386227E+01  0.449729273370537E-02
     0.205000000000000E+01  0.499436655443622E+00  0.115259911459654E-02  0.200224525612096E+01  0.462077839953547E-02
     0.210000000000000E+01  0.499222371562741E+00  0.118260261750225E-02  0.200310411823864E+01  0.474513224626358E-02
     0.215000000000000E+01  0.499002569199408E+00  0.121274959157879E-02  0.200398586133700E+01  0.487038180738291E-02
     0.220000000000000E+01  0.498777221719513E+00  0.124304429593157E-02  0.200489065160835E+01  0.499655513508947E-02
     0.225000000000000E+01  0.498546301704619E+00  0.127349105605432E-02  0.200581866041157E+01  0.512368082035124E-02
     0.230000000000000E+01  0.498309780939671E+00  0.130409426624590E-02  0.200677006437172E+01  0.525178801364509E-02
     0.235000000000000E+01  0.498067630400265E+00  0.133485839210002E-02  0.200774504548357E+01  0.538090644639401E-02
     0.240000000000000E+01  0.497819820239449E+00  0.136578797307143E-02  0.200874379121894E+01  0.551106645313785E-02
     0.245000000000000E+01  0.497566319774063E+00  0.139688762512192E-02  0.200976649463822E+01  0.564229899447293E-02
     0.250000000000000E+01  0.497307097470590E+00  0.142816204344976E-02  0.201081335450605E+01  0.577463568079736E-02
     0.255000000000000E+01  0.497042120930491E+00  0.145961600530657E-02  0.201188457541143E+01  0.590810879690135E-02
     0.260000000000000E+01  0.496771356875044E+00  0.149125437290543E-02  0.201298036789225E+01  0.604275132744253E-02
     0.265000000000000E+01  0.496494771129631E+00  0.152308209642457E-02  0.201410094856460E+01  0.617859698334979E-02
