#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.446488030029256E+00  0.139489650532916E-10  0.223970170025493E+01  0.699716871348304E-10
     0.500000000000000E-01  0.446484580246338E+00  0.376040811095050E-04  0.223971898952217E+01  0.188634900891812E-03
     0.100000000000000E+00  0.446474230395343E+00  0.752136395828270E-04  0.223977086143428E+01  0.377314762759918E-03
     0.150000000000000E+00  0.446456978969399E+00  0.112834183177976E-03  0.223985732832465E+01  0.566084715844567E-03
     0.200000000000000E+00  0.446432823456286E+00  0.150471210702557E-03  0.223997841075787E+01  0.754989879115216E-03
     0.250000000000000E+00  0.446401760337308E+00  0.188130228467753E-03  0.224013413754295E+01  0.944075459684397E-03
     0.300000000000000E+00  0.446363785085693E+00  0.225816752800251E-03  0.224032454575206E+01  0.113338678236028E-02
     0.350000000000000E+00  0.446318892164539E+00  0.263536312563377E-03  0.224054968074460E+01  0.132296931934668E-02
     0.400000000000000E+00  0.446267075024308E+00  0.301294451689784E-03  0.224080959619658E+01  0.151286872012792E-02
     0.450000000000000E+00  0.446208326099841E+00  0.339096731728036E-03  0.224110435413557E+01  0.170313084157645E-02
     0.500000000000000E+00  0.446142636806927E+00  0.376948734405455E-03  0.224143402498107E+01  0.189380177832136E-02
     0.550000000000000E+00  0.446069997538389E+00  0.414856064209637E-03  0.224179868759041E+01  0.208492789341666E-02
     0.600000000000000E+00  0.445990397659704E+00  0.452824350991040E-03  0.224219842931032E+01  0.227655584934876E-02
     0.650000000000000E+00  0.445903825504150E+00  0.490859252589142E-03  0.224263334603402E+01  0.246873263942316E-02
     0.700000000000000E+00  0.445810268367465E+00  0.528966457484599E-03  0.224310354226417E+01  0.266150561957138E-02
     0.750000000000000E+00  0.445709712502033E+00  0.567151687479999E-03  0.224360913118155E+01  0.285492254061963E-02
     0.800000000000000E+00  0.445602143110558E+00  0.605420700411768E-03  0.224415023471971E+01  0.304903158106254E-02
     0.850000000000000E+00  0.445487544339271E+00  0.643779292895836E-03  0.224472698364551E+01  0.324388138038480E-02
     0.900000000000000E+00  0.445365899270609E+00  0.682233303109760E-03  0.224533951764585E+01  0.343952107297653E-02
     0.950000000000000E+00  0.445237189915391E+00  0.720788613614085E-03  0.224598798542053E+01  0.363600032268822E-02
     0.100000000000000E+01  0.445101397204487E+00  0.759451154215635E-03  0.224667254478152E+01  0.383336935807243E-02
     0.105000000000000E+01  0.444958500979954E+00  0.798226904875729E-03  0.224739336275855E+01  0.403167900836180E-02
     0.110000000000000E+01  0.444808479985630E+00  0.837121898666188E-03  0.224815061571145E+01  0.423098074023393E-02
     0.115000000000000E+01  0.444651311857203E+00  0.876142224776127E-03  0.224894448944910E+01  0.443132669541460E-02
     0.120000000000000E+01  0.444486973111722E+00  0.915294031572726E-03  0.224977517935530E+01  0.463276972917444E-02
