#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.592232122025130E+00  -.285977336548019E-10  0.168852712105604E+01  -.815356801514745E-10
     0.500000000000000E-01  0.592230183671184E+00  0.211254872723677E-04  0.168853264541273E+01  0.602317745585375E-04
     0.100000000000000E+00  0.592224368357860E+00  0.422537526983472E-04  0.168854921941555E+01  0.120473835505970E-03
     0.150000000000000E+00  0.592214675330563E+00  0.633875184559409E-04  0.168857684586319E+01  0.180736311408836E-03
     0.200000000000000E+00  0.592201103331274E+00  0.845295377611013E-04  0.168861552942177E+01  0.241029422868860E-03
     0.250000000000000E+00  0.592183650597982E+00  0.105682567492945E-03  0.168866527662719E+01  0.301363406250638E-03
     0.300000000000000E+00  0.592162314863914E+00  0.126849369420114E-03  0.168872609588849E+01  0.361748518961352E-03
     0.350000000000000E+00  0.592137093356529E+00  0.148032711431697E-03  0.168879799749214E+01  0.422195044752343E-03
     0.400000000000000E+00  0.592107982796294E+00  0.169235368773860E-03  0.168888099360733E+01  0.482713299048074E-03
     0.450000000000000E+00  0.592074979395225E+00  0.190460125293352E-03  0.168897509829222E+01  0.543313634308057E-03
     0.500000000000000E+00  0.592038078855220E+00  0.211709774689066E-03  0.168908032750116E+01  0.604006445427393E-03
     0.550000000000000E+00  0.591997276366137E+00  0.232987121772822E-03  0.168919669909288E+01  0.664802175181621E-03
     0.600000000000000E+00  0.591952566603664E+00  0.254294983740603E-03  0.168932423283974E+01  0.725711319721694E-03
     0.650000000000000E+00  0.591903943726945E+00  0.275636191455422E-03  0.168946295043791E+01  0.786744434124890E-03
     0.700000000000000E+00  0.591851401375979E+00  0.297013590743102E-03  0.168961287551858E+01  0.847912138007687E-03
     0.750000000000000E+00  0.591794932668769E+00  0.318430043702192E-03  0.168977403366026E+01  0.909225121206687E-03
     0.800000000000000E+00  0.591734530198249E+00  0.339888430029313E-03  0.168994645240199E+01  0.970694149533714E-03
     0.850000000000000E+00  0.591670186028949E+00  0.361391648361240E-03  0.169013016125779E+01  0.103233007061153E-02
     0.900000000000000E+00  0.591601891693436E+00  0.382942617635050E-03  0.169032519173197E+01  0.109414381979653E-02
     0.950000000000000E+00  0.591529638188485E+00  0.404544278467700E-03  0.169053157733567E+01  0.115614642619514E-02
