# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.060865884986724655  0.225657825473574E+01  0.443148824066421E+00
0.20  0.12173176997344931  0.223970170025493E+01  0.446488030029256E+00
0.30  0.18259765496017394  0.221257070501320E+01  0.451962957718920E+00
0.45  0.27389648244026094  0.215564221422159E+01  0.463898875890731E+00
0.60  0.3651953099203479  0.208394854252223E+01  0.479858297647642E+00
0.80  0.48692707989379724  0.197438331295335E+01  0.506487262852807E+00
1.30  0.7912565048274205  0.168852712105604E+01  0.592232122025130E+00
1.70  1.034720044774319  0.149436022196682E+01  0.669182694574027E+00
