#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.451962957718920E+00  0.456276102031117E-10  0.221257070501320E+01  0.223368556982386E-09
     0.500000000000000E-01  0.451959578473032E+00  0.368348454146891E-04  0.221258723343413E+01  0.180326543770603E-03
     0.100000000000000E+00  0.451949440246974E+00  0.736749857059016E-04  0.221263682255989E+01  0.360695183481960E-03
     0.150000000000000E+00  0.451932541575223E+00  0.110525809425978E-03  0.221271948398228E+01  0.541148488992062E-03
     0.200000000000000E+00  0.451908880014492E+00  0.147392664335475E-03  0.221283523702918E+01  0.721728861160450E-03
     0.250000000000000E+00  0.451878452142653E+00  0.184280905454211E-03  0.221298410877690E+01  0.902478782485617E-03
     0.300000000000000E+00  0.451841253557179E+00  0.221195897491351E-03  0.221316613406744E+01  0.108344084447473E-02
     0.350000000000000E+00  0.451797278873158E+00  0.258143017284376E-03  0.221338135553087E+01  0.126465777514816E-02
     0.400000000000000E+00  0.451746521720866E+00  0.295127656249154E-03  0.221362982361248E+01  0.144617246671277E-02
     0.450000000000000E+00  0.451688974742889E+00  0.332155222843409E-03  0.221391159660520E+01  0.162802800343885E-02
     0.500000000000000E+00  0.451624629590793E+00  0.369231145045844E-03  0.221422674068699E+01  0.181026768977538E-02
     0.550000000000000E+00  0.451553476921343E+00  0.406360872853240E-03  0.221457532996331E+01  0.199293507873908E-02
     0.600000000000000E+00  0.451475506392262E+00  0.443549880797844E-03  0.221495744651492E+01  0.217607400061345E-02
     0.650000000000000E+00  0.451390706657541E+00  0.480803670487444E-03  0.221537318045076E+01  0.235972859199398E-02
     0.700000000000000E+00  0.451299065362269E+00  0.518127773170502E-03  0.221582262996620E+01  0.254394332521739E-02
     0.750000000000000E+00  0.451200569137007E+00  0.555527752328796E-03  0.221630590140668E+01  0.272876303821248E-02
     0.800000000000000E+00  0.451095203591674E+00  0.593009206300048E-03  0.221682310933682E+01  0.291423296481199E-02
     0.850000000000000E+00  0.450982953308970E+00  0.630577770933085E-03  0.221737437661498E+01  0.310039876556505E-02
     0.900000000000000E+00  0.450863801837298E+00  0.668239122278085E-03  0.221795983447351E+01  0.328730655909138E-02
     0.950000000000000E+00  0.450737731683192E+00  0.705998979314556E-03  0.221857962260485E+01  0.347500295401940E-02
     0.100000000000000E+01  0.450604724303268E+00  0.743863106719763E-03  0.221923388925321E+01  0.366353508155108E-02
     0.105000000000000E+01  0.450464760095632E+00  0.781837317680317E-03  0.221992279131251E+01  0.385295062869891E-02
     0.110000000000000E+01  0.450317818390804E+00  0.819927476749809E-03  0.222064649443016E+01  0.404329787224030E-02
     0.115000000000000E+01  0.450163877442098E+00  0.858139502755336E-03  0.222140517311725E+01  0.423462571343736E-02
     0.120000000000000E+01  0.450002914415480E+00  0.896479371755931E-03  0.222219901086494E+01  0.442698371357109E-02
     0.125000000000000E+01  0.449834905378876E+00  0.934953120055985E-03  0.222302820026752E+01  0.462042213034132E-02
     0.130000000000000E+01  0.449659825290931E+00  0.973566847276725E-03  0.222389294315200E+01  0.481499195518438E-02
     0.135000000000000E+01  0.449477647989203E+00  0.101232671948912E-02  0.222479345071465E+01  0.501074495156418E-02
     0.140000000000000E+01  0.449288346177775E+00  0.105123897241147E-02  0.222572994366452E+01  0.520773369429331E-02
     0.145000000000000E+01  0.449091891414300E+00  0.109030991467513E-02  0.222670265237415E+01  0.540601160994296E-02
     0.150000000000000E+01  0.448888254096412E+00  0.112954593116208E-02  0.222771181703778E+01  0.560563301840430E-02
     0.155000000000000E+01  0.448677403447567E+00  0.116895348641777E-02  0.222875768783704E+01  0.580665317566406E-02
     0.160000000000000E+01  0.448459307502210E+00  0.120853912814338E-02  0.222984052511470E+01  0.600912831786329E-02
     0.165000000000000E+01  0.448233933090341E+00  0.124830949077112E-02  0.223096059955628E+01  0.621311570670673E-02
     0.170000000000000E+01  0.448001245821396E+00  0.128827129912696E-02  0.223211819238018E+01  0.641867367629808E-02
     0.175000000000000E+01  0.447761210067468E+00  0.132843137218475E-02  0.223331359553633E+01  0.662586168147562E-02
     0.180000000000000E+01  0.447513788945836E+00  0.136879662691646E-02  0.223454711191368E+01  0.683474034772939E-02
     0.185000000000000E+01  0.447258944300781E+00  0.140937408224269E-02  0.223581905555696E+01  0.704537152278210E-02
     0.190000000000000E+01  0.446996636684675E+00  0.145017086308866E-02  0.223712975189285E+01  0.725781832992260E-02
     0.195000000000000E+01  0.446726825338340E+00  0.149119420455026E-02  0.223847953796591E+01  0.747214522318195E-02
     0.200000000000000E+01  0.446449468170614E+00  0.153245145617539E-02  0.223986876268474E+01  0.768841804444986E-02
     0.205000000000000E+01  0.446164521737147E+00  0.157395008636605E-02  0.224129778707855E+01  0.790670408263124E-02
     0.210000000000000E+01  0.445871941218388E+00  0.161569768690653E-02  0.224276698456465E+01  0.812707213494866E-02
     0.215000000000000E+01  0.445571680396727E+00  0.165770197762368E-02  0.224427674122718E+01  0.834959257050316E-02
     0.220000000000000E+01  0.445263691632791E+00  0.169997081118516E-02  0.224582745610749E+01  0.857433739620867E-02
     0.225000000000000E+01  0.444947925840844E+00  0.174251217804196E-02  0.224741954150673E+01  0.880138032522430E-02
     0.230000000000000E+01  0.444624332463299E+00  0.178533421152189E-02  0.224905342330083E+01  0.903079684801291E-02
     0.235000000000000E+01  0.444292859444262E+00  0.182844519308070E-02  0.225072954126877E+01  0.926266430616334E-02
     0.240000000000000E+01  0.443953453202137E+00  0.187185355771805E-02  0.225244834943420E+01  0.949706196911784E-02
     0.245000000000000E+01  0.443606058601220E+00  0.191556789956592E-02  0.225421031642125E+01  0.973407111395799E-02
     0.250000000000000E+01  0.443250618922268E+00  0.195959697765703E-02  0.225601592582504E+01  0.997377510840691E-02
     0.255000000000000E+01  0.442887075832002E+00  0.200394972188157E-02  0.225786567659729E+01  0.102162594972164E-01
     0.260000000000000E+01  0.442515369351521E+00  0.204863523914078E-02  0.225976008344799E+01  0.104616120921165E-01
     0.265000000000000E+01  0.442135437823575E+00  0.209366281970628E-02  0.226169967726336E+01  0.107099230655143E-01
     0.270000000000000E+01  0.441747217878674E+00  0.213904194379439E-02  0.226368500554126E+01  0.109612850481406E-01
     0.275000000000000E+01  0.441350644399984E+00  0.218478228836546E-02  0.226571663284432E+01  0.112157932308515E-01
     0.280000000000000E+01  0.440945650486972E+00  0.223089373415819E-02  0.226779514127183E+01  0.114735454708090E-01
     0.285000000000000E+01  0.440532167417746E+00  0.227738637296987E-02  0.226992113095126E+01  0.117346424022713E-01
     0.290000000000000E+01  0.440110124610081E+00  0.232427051519380E-02  0.227209522054985E+01  0.119991875522416E-01
     0.295000000000000E+01  0.439679449581032E+00  0.237155669762543E-02  0.227431804780762E+01  0.122672874612360E-01
     0.300000000000000E+01  0.439240067905112E+00  0.241925569155014E-02  0.227659027009249E+01  0.125390518094509E-01
     0.305000000000000E+01  0.438791903170997E+00  0.246737851112510E-02  0.227891256497858E+01  0.128145935486186E-01
     0.310000000000000E+01  0.438334876936687E+00  0.251593642206918E-02  0.228128563084854E+01  0.130940290398656E-01
