#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.443148824066421E+00  0.382137120240940E-10  0.225657825473574E+01  0.194589778654991E-09
     0.500000000000000E-01  0.443145330292594E+00  0.380838933006900E-04  0.225659602901390E+01  0.193931779299091E-03
     0.100000000000000E+00  0.443134848460086E+00  0.761733367111623E-04  0.225664935611956E+01  0.387910162877217E-03
     0.150000000000000E+00  0.443117377035427E+00  0.114273959326287E-03  0.225673824886954E+01  0.581982174986506E-03
     0.200000000000000E+00  0.443092913462059E+00  0.152391357135072E-03  0.225686272863460E+01  0.776194706877520E-03
     0.250000000000000E+00  0.443061454159172E+00  0.190531133794196E-03  0.225702282535331E+01  0.970594742280276E-03
     0.300000000000000E+00  0.443022994520076E+00  0.228698903194904E-03  0.225721857755174E+01  0.116522938841237E-02
     0.350000000000000E+00  0.442977528910099E+00  0.266900292039372E-03  0.225745003236859E+01  0.136014590714317E-02
     0.400000000000000E+00  0.442925050664028E+00  0.305140942428914E-03  0.225771724558615E+01  0.155539174635381E-02
     0.450000000000000E+00  0.442865552083061E+00  0.343426514466452E-03  0.225802028166692E+01  0.175101457153295E-02
     0.500000000000000E+00  0.442799024431292E+00  0.381762688875688E-03  0.225835921379594E+01  0.194706229764899E-02
     0.550000000000000E+00  0.442725457931721E+00  0.420155169639415E-03  0.225873412392900E+01  0.214358312133946E-02
     0.600000000000000E+00  0.442644841761777E+00  0.458609686659484E-03  0.225914510284665E+01  0.234062555345986E-02
     0.650000000000000E+00  0.442557164048352E+00  0.497131998440920E-03  0.225959225021423E+01  0.253823845203393E-02
     0.700000000000000E+00  0.442462411862352E+00  0.535727894802778E-03  0.226007567464785E+01  0.273647105564920E-02
     0.750000000000000E+00  0.442360571212743E+00  0.574403199618308E-03  0.226059549378650E+01  0.293537301734158E-02
     0.800000000000000E+00  0.442251627040105E+00  0.613163773587097E-03  0.226115183437029E+01  0.313499443901457E-02
     0.850000000000000E+00  0.442135563209671E+00  0.652015517041894E-03  0.226174483232513E+01  0.333538590643966E-02
     0.900000000000000E+00  0.442012362503854E+00  0.690964372792841E-03  0.226237463285362E+01  0.353659852488517E-02
     0.950000000000000E+00  0.441882006614255E+00  0.730016329011957E-03  0.226304139053261E+01  0.373868395542275E-02
     0.100000000000000E+01  0.441744476133138E+00  0.769177422160733E-03  0.226374526941732E+01  0.394169445196226E-02
     0.105000000000000E+01  0.441599750544376E+00  0.808453739963773E-03  0.226448644315225E+01  0.414568289906615E-02
     0.110000000000000E+01  0.441447808213840E+00  0.847851424431545E-03  0.226526509508908E+01  0.435070285059833E-02
     0.115000000000000E+01  0.441288626379249E+00  0.887376674935278E-03  0.226608141841153E+01  0.455680856926159E-02
     0.120000000000000E+01  0.441122181139436E+00  0.927035751337252E-03  0.226693561626759E+01  0.476405506708247E-02
     0.125000000000000E+01  0.440948447443062E+00  0.966834977179712E-03  0.226782790190908E+01  0.497249814690165E-02
     0.130000000000000E+01  0.440767399076726E+00  0.100678074293579E-02  0.226875849883887E+01  0.518219444493278E-02
     0.135000000000000E+01  0.440579008652486E+00  0.104687950932590E-02  0.226972764096587E+01  0.539320147445333E-02
     0.140000000000000E+01  0.440383247594775E+00  0.108713781070326E-02  0.227073557276803E+01  0.560557767069414E-02
     0.145000000000000E+01  0.440180086126686E+00  0.112756225851207E-02  0.227178254946361E+01  0.581938243699708E-02
