#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.122087065673469E+00  0.491571080697631E-10  0.819087586783826E+01  0.329797237733792E-08
     0.500000000000000E-01  0.122076378758941E+00  0.116628836384126E-03  0.819158544366951E+01  0.782604372892530E-02
     0.100000000000000E+00  0.122044315231876E+00  0.233288332389191E-03  0.819371508014638E+01  0.156623282574678E-01
     0.150000000000000E+00  0.121990866738505E+00  0.350009287124922E-03  0.819726750714546E+01  0.235191357620108E-01
     0.200000000000000E+00  0.121916019343735E+00  0.466822533070457E-03  0.820224728443363E+01  0.314068149107950E-01
     0.250000000000000E+00  0.121819753512916E+00  0.583759026893762E-03  0.820866081668928E+01  0.393358196209406E-01
     0.300000000000000E+00  0.121702044086190E+00  0.700849891596145E-03  0.821651637466393E+01  0.473167452011152E-01
     0.350000000000000E+00  0.121562860245358E+00  0.818126459305276E-03  0.822582412261426E+01  0.553603654168650E-01
     0.400000000000000E+00  0.121402165473134E+00  0.935620314887876E-03  0.823659615217498E+01  0.634776707274436E-01
     0.450000000000000E+00  0.121219917504631E+00  0.105336334055943E-02  0.824884652288687E+01  0.716799079555406E-01
     0.500000000000000E+00  0.121016068270879E+00  0.117138776167590E-02  0.826259130963686E+01  0.799786216667833E-01
     0.550000000000000E+00  0.120790563834201E+00  0.128972619390138E-02  0.827784865731030E+01  0.883856975544765E-01
     0.600000000000000E+00  0.120543344315138E+00  0.140841169195649E-02  0.829463884301152E+01  0.969134081473026E-01
     0.650000000000000E+00  0.120274343810693E+00  0.152747780016451E-02  0.831298434625413E+01  0.105574461183545E+00
     0.700000000000000E+00  0.119983490303527E+00  0.164695860502676E-02  0.833290992758702E+01  0.114382051025806E+00
     0.750000000000000E+00  0.119670705561783E+00  0.176688879007489E-02  0.835444271617811E+01  0.123349913525136E+00
     0.800000000000000E+00  0.119335905029095E+00  0.188730369326668E-02  0.837761230695089E+01  0.132492384784026E+00
     0.850000000000000E+00  0.118978997704362E+00  0.200823936721282E-02  0.840245086793903E+01  0.141824464314243E+00
     0.900000000000000E+00  0.118599886010771E+00  0.212973264254652E-02  0.842899325860946E+01  0.151361883139034E+00
     0.950000000000000E+00  0.118198465653517E+00  0.225182119477463E-02  0.845727715999287E+01  0.161121177450654E+00
     0.100000000000000E+01  0.117774625465592E+00  0.237454361497987E-02  0.848734321756204E+01  0.171119768504741E+00
     0.105000000000000E+01  0.117328247241016E+00  0.249793948477840E-02  0.851923519790637E+01  0.181376049513888E+00
     0.110000000000000E+01  0.116859205554705E+00  0.262204945597606E-02  0.855300016038050E+01  0.191909480395966E+00
     0.115000000000000E+01  0.116367367568194E+00  0.274691533541085E-02  0.858868864503746E+01  0.202740691339406E+00
     0.120000000000000E+01  0.115852592820313E+00  0.287258017551941E-02  0.862635487831411E+01  0.213891596270736E+00
     0.125000000000000E+01  0.115314733001796E+00  0.299908837122131E-02  0.866605699811144E+01  0.225385517451375E+00
     0.130000000000000E+01  0.114753631712773E+00  0.312648576377956E-02  0.870785730010315E+01  0.237247322594028E+00
     0.135000000000000E+01  0.114169124201891E+00  0.325481975236769E-02  0.875182250733028E+01  0.249503576078084E+00
     0.140000000000000E+01  0.113561037085788E+00  0.338413941415648E-02  0.879802406538379E+01  0.262182706062031E+00
     0.145000000000000E+01  0.112929188047439E+00  0.351449563382645E-02  0.884653846575741E+01  0.275315189544456E+00
     0.150000000000000E+01  0.112273385511747E+00  0.364594124351919E-02  0.889744760027360E+01  0.288933757720296E+00
     0.155000000000000E+01  0.111593428296642E+00  0.377853117436109E-02  0.895083914983938E+01  0.303073624321815E+00
     0.160000000000000E+01  0.110889105237695E+00  0.391232262083231E-02  0.900680701120278E+01  0.317772740034889E+00
     0.165000000000000E+01  0.110160194784103E+00  0.404737521941145E-02  0.906545176584244E+01  0.333072076549516E+00
     0.170000000000000E+01  0.109406464563615E+00  0.418375124310857E-02  0.912688119565678E+01  0.349015944353367E+00
     0.175000000000000E+01  0.108627670913768E+00  0.432151581370721E-02  0.919121085072283E+01  0.365652349022993E+00
     0.180000000000000E+01  0.107823558376481E+00  0.446073713377641E-02  0.925856467508948E+01  0.383033391528756E+00
     0.185000000000000E+01  0.106993859152722E+00  0.460148674078995E-02  0.932907569736514E+01  0.401215718969226E+00
     0.190000000000000E+01  0.106138292513591E+00  0.474383978601124E-02  0.940288679377729E+01  0.420261033217288E+00
     0.195000000000000E+01  0.105256564163798E+00  0.488787534117163E-02  0.948015153242170E+01  0.440236666226200E+00
     0.200000000000000E+01  0.104348365552978E+00  0.503367673640231E-02  0.956103510864024E+01  0.461216232254772E+00
     0.205000000000000E+01  0.103413373129802E+00  0.518133193338096E-02  0.964571538285386E+01  0.483280369075226E+00
     0.210000000000000E+01  0.102451247533210E+00  0.533093393824116E-02  0.973438403379547E+01  0.506517582392657E+00
     0.215000000000000E+01  0.101461632714457E+00  0.548258125947906E-02  0.982724784194781E+01  0.531025210309297E+00
     0.220000000000000E+01  0.100444154982811E+00  0.563637841689837E-02  0.992453012015968E+01  0.556910527812181E+00
     0.225000000000000E+01  0.993984219669561E-01  0.579243650858475E-02  0.100264723109139E+02  0.584292015072021E+00
     0.230000000000000E+01  0.983240214830303E-01  0.595087384402393E-02  0.101333357726398E+02  0.613300817974799E+00
     0.235000000000000E+01  0.972205202991848E-01  0.611181665280863E-02  0.102454037808372E+02  0.644082434960946E+00
     0.240000000000000E+01  0.960874627851480E-01  0.627539987996256E-02  0.103629837737172E+02  0.676798671175764E+00
