# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.05874331812995126  0.819087586783826E+01  0.122087065673469E+00
0.20  0.11748663625990252  0.767983627428829E+01  0.130211109232621E+00
0.30  0.17622995438985378  0.713897851476153E+01  0.140076062413168E+00
0.45  0.2643449315847807  0.606209831519253E+01  0.164959383369592E+00
0.60  0.35245990877970756  0.505072761580673E+01  0.197991274934408E+00
0.80  0.4699465450396101  0.392463275858352E+01  0.254800910432425E+00
1.30  0.7636631356893664  0.236389524158869E+01  0.423030590529865E+00
1.70  0.9986364082091714  0.183523052086111E+01  0.544890676475230E+00
