#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.544890676475230E+00  -.135123472180648E-10  0.183523052086111E+01  -.455105456813455E-10
     0.500000000000000E-01  0.544884625077481E+00  0.662019772859356E-04  0.183525087553392E+01  0.222977913459778E-03
     0.100000000000000E+00  0.544866467870719E+00  0.132437504910812E-03  0.183531195235360E+01  0.446098539799248E-03
     0.150000000000000E+00  0.544836195807987E+00  0.198740179418818E-03  0.183541378975290E+01  0.669504832259380E-03
     0.200000000000000E+00  0.544793793789721E+00  0.265143757698659E-03  0.183555645188266E+01  0.893340454072861E-03
     0.250000000000000E+00  0.544739240631706E+00  0.331682217826675E-03  0.183574002875675E+01  0.111775006952896E-02
     0.300000000000000E+00  0.544672509019976E+00  0.398389834559256E-03  0.183596463645590E+01  0.134287968579572E-02
     0.350000000000000E+00  0.544593565452459E+00  0.465301256357499E-03  0.183623041739162E+01  0.156887700181386E-02
     0.400000000000000E+00  0.544502370167066E+00  0.532451584353640E-03  0.183653754063139E+01  0.179589176615354E-02
     0.450000000000000E+00  0.544398877055877E+00  0.599876453687053E-03  0.183688620228682E+01  0.202407614580990E-02
     0.500000000000000E+00  0.544283033564976E+00  0.667612117660064E-03  0.183727662596687E+01  0.225358510801835E-02
     0.550000000000000E+00  0.544154780579461E+00  0.735695535190785E-03  0.183770906329822E+01  0.248457681729530E-02
     0.600000000000000E+00  0.544014052292991E+00  0.804164462072208E-03  0.183818379451577E+01  0.271721305006015E-02
     0.650000000000000E+00  0.543860776061257E+00  0.873057546584200E-03  0.183870112912620E+01  0.295165962936756E-02
     0.700000000000000E+00  0.543694872238554E+00  0.942414430048523E-03  0.183926140664824E+01  0.318808688248234E-02
     0.750000000000000E+00  0.543516253996638E+00  0.101227585296717E-02  0.183986499743348E+01  0.342667012426263E-02
     0.800000000000000E+00  0.543324827124859E+00  0.108268376744216E-02  0.184051230357241E+01  0.366759016958651E-02
     0.850000000000000E+00  0.543120489810493E+00  0.115368145664095E-02  0.184120375989066E+01  0.391103387836580E-02
     0.900000000000000E+00  0.542903132398062E+00  0.122531366214791E-02  0.184193983504093E+01  0.415719473704435E-02
     0.950000000000000E+00  0.542672637126277E+00  0.129762672012841E-02  0.184272103269711E+01  0.440627348088306E-02
     0.100000000000000E+01  0.542428877841086E+00  0.137066870733219E-02  0.184354789285740E+01  0.465847876179655E-02
     0.105000000000000E+01  0.542171719683152E+00  0.144448959807526E-02  0.184442099326439E+01  0.491402786703639E-02
     0.110000000000000E+01  0.541901018747902E+00  0.151914143347031E-02  0.184534095095050E+01  0.517314749462125E-02
     0.115000000000000E+01  0.541616621716045E+00  0.159467850432366E-02  0.184630842391866E+01  0.543607459210952E-02
     0.120000000000000E+01  0.541318365452267E+00  0.167115754928790E-02  0.184732411296874E+01  0.570305726610617E-02
     0.125000000000000E+01  0.541006076569548E+00  0.174863797005463E-02  0.184838876368166E+01  0.597435577080914E-02
     0.130000000000000E+01  0.540679570956211E+00  0.182718206559738E-02  0.184950316857450E+01  0.625024358495423E-02
     0.135000000000000E+01  0.540338653262568E+00  0.190685528773343E-02  0.185066816944116E+01  0.653100858772730E-02
     0.140000000000000E+01  0.539983116343603E+00  0.198772652057318E-02  0.185188465989508E+01  0.681695434561285E-02
     0.145000000000000E+01  0.539612740653759E+00  0.206986838677103E-02  0.185315358813228E+01  0.710840152376519E-02
     0.150000000000000E+01  0.539227293589433E+00  0.215335758389311E-02  0.185447595993513E+01  0.740568943736425E-02
     0.155000000000000E+01  0.538826528774260E+00  0.223827525468270E-02  0.185585284193965E+01  0.770917776059674E-02
     0.160000000000000E+01  0.538410185281708E+00  0.232470739554610E-02  0.185728536519177E+01  0.801924841344108E-02
     0.165000000000000E+01  0.537977986788814E+00  0.241274530821515E-02  0.185877472902135E+01  0.833630764939768E-02
     0.170000000000000E+01  0.537529640654177E+00  0.250248610028225E-02  0.186032220526575E+01  0.866078837077389E-02
     0.175000000000000E+01  0.537064836912459E+00  0.259403324117398E-02  0.186192914287916E+01  0.899315270220600E-02
     0.180000000000000E+01  0.536583247176673E+00  0.268749718115130E-02  0.186359697296817E+01  0.933389485789331E-02
     0.185000000000000E+01  0.536084523438452E+00  0.278299604213267E-02  0.186532721429931E+01  0.968354434368098E-02
     0.190000000000000E+01  0.535568296755217E+00  0.288065639056584E-02  0.186712147932992E+01  0.100426695418320E-01
     0.195000000000000E+01  0.535034175811734E+00  0.298061410427323E-02  0.186898148082099E+01  0.104118817343001E-01
     0.200000000000000E+01  0.534481745341883E+00  0.308301534722070E-02  0.187090903909761E+01  0.107918396298125E-01
     0.205000000000000E+01  0.533910564394586E+00  0.318801766858189E-02  0.187290609003221E+01  0.111832544714447E-01
     0.210000000000000E+01  0.533320164425629E+00  0.329579124537848E-02  0.187497469383544E+01  0.115868958150199E-01
     0.215000000000000E+01  0.532710047194637E+00  0.340652029148174E-02  0.187711704475173E+01  0.120035980851262E-01
