#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.140076062413168E+00  0.281772669271813E-11  0.713897851476153E+01  0.143605481002540E-09
     0.500000000000000E-01  0.140065723798558E+00  0.112810324355678E-03  0.713950083000654E+01  0.575022484108250E-02
     0.100000000000000E+00  0.140034705413976E+00  0.225648621692809E-03  0.714106835528064E+01  0.115069491310716E-01
     0.150000000000000E+00  0.139982999634333E+00  0.338542902673589E-03  0.714368283084993E+01  0.172766916529359E-01
     0.200000000000000E+00  0.139910593741637E+00  0.451521239335788E-03  0.714734716267109E+01  0.230660092459601E-01
     0.250000000000000E+00  0.139817469910707E+00  0.564611800263105E-03  0.715206543069123E+01  0.288815163155292E-01
     0.300000000000000E+00  0.139703605189098E+00  0.677842883246740E-03  0.715784290053110E+01  0.347299045214750E-01
     0.350000000000000E+00  0.139568971471183E+00  0.791242948361826E-03  0.716468603861382E+01  0.406179629005153E-01
     0.400000000000000E+00  0.139413535466331E+00  0.904840651567254E-03  0.717260253082027E+01  0.465525985386672E-01
     0.450000000000000E+00  0.139237258661041E+00  0.101866487894059E-02  0.718160130477433E+01  0.525408579145956E-01
     0.500000000000000E+00  0.139040097274952E+00  0.113274478166393E-02  0.719169255587901E+01  0.585899490410587E-01
     0.550000000000000E+00  0.138822002210559E+00  0.124710981188105E-02  0.720288777724775E+01  0.647072645390829E-01
     0.600000000000000E+00  0.138582918996507E+00  0.136178975955201E-02  0.721519979369647E+01  0.709004057882872E-01
     0.650000000000000E+00  0.138322787724237E+00  0.147681479043759E-02  0.722864279998953E+01  0.771772083071183E-01
     0.700000000000000E+00  0.138041542977825E+00  0.159221548535341E-02  0.724323240355429E+01  0.835457685285751E-01
     0.750000000000000E+00  0.137739113756747E+00  0.170802288084186E-02  0.725898567191113E+01  0.900144721507630E-01
     0.800000000000000E+00  0.137415423391339E+00  0.182426851141964E-02  0.727592118509391E+01  0.965920242572603E-01
     0.850000000000000E+00  0.137070389450649E+00  0.194098445356897E-02  0.729405909337032E+01  0.103287481420212E+00
     0.900000000000000E+00  0.136703923642380E+00  0.205820337165297E-02  0.731342118060551E+01  0.110110286019428E+00
     0.950000000000000E+00  0.136315931704573E+00  0.217595856594894E-02  0.733403093365468E+01  0.117070303034029E+00
     0.100000000000000E+01  0.135906313288663E+00  0.229428402300814E-02  0.735591361820959E+01  0.124177859589501E+00
     0.105000000000000E+01  0.135474961833477E+00  0.241321446856801E-02  0.737909636157578E+01  0.131443787573092E+00
     0.110000000000000E+01  0.135021764429715E+00  0.253278542326086E-02  0.740360824290669E+01  0.138879469664531E+00
     0.115000000000000E+01  0.134546601674457E+00  0.265303326138486E-02  0.742948039147779E+01  0.146496889167727E+00
     0.120000000000000E+01  0.134049347515106E+00  0.277399527302598E-02  0.745674609365149E+01  0.154308684073328E+00
     0.125000000000000E+01  0.133529869082193E+00  0.289570972984609E-02  0.748544090925227E+01  0.162328205832117E+00
     0.130000000000000E+01  0.132988026510416E+00  0.301821595488192E-02  0.751560279814933E+01  0.170569583376387E+00
     0.135000000000000E+01  0.132423672747164E+00  0.314155439673192E-02  0.754727225793626E+01  0.179047792991833E+00
     0.140000000000000E+01  0.131836653347807E+00  0.326576670854530E-02  0.758049247369048E+01  0.187778734716861E+00
     0.145000000000000E+01  0.131226806256850E+00  0.339089583226858E-02  0.761530948091049E+01  0.196779316031757E+00
     0.150000000000000E+01  0.130593961574100E+00  0.351698608865097E-02  0.765177234284680E+01  0.206067543697623E+00
     0.155000000000000E+01  0.129937941304779E+00  0.364408327356210E-02  0.768993334358594E+01  0.215662624717438E+00
     0.160000000000000E+01  0.129258559092516E+00  0.377223476123391E-02  0.772984819839920E+01  0.225585077520418E+00
     0.165000000000000E+01  0.128555619934017E+00  0.390148961510427E-02  0.777157628304267E+01  0.235856854619380E+00
     0.170000000000000E+01  0.127828919874071E+00  0.403189870701374E-02  0.781518088389606E+01  0.246501478162380E+00
     0.175000000000000E+01  0.127078245679489E+00  0.416351484559107E-02  0.786072947104571E+01  0.257544189997868E+00
     0.180000000000000E+01  0.126303374490343E+00  0.429639291475761E-02  0.790829399667518E+01  0.269012118102459E+00
     0.185000000000000E+01  0.125504073446823E+00  0.443059002338764E-02  0.795795122140712E+01  0.280934461486712E+00
     0.190000000000000E+01  0.124680099289742E+00  0.456616566728406E-02  0.800978307157089E+01  0.293342696004808E+00
     0.195000000000000E+01  0.123831197932654E+00  0.470318190476715E-02  0.806387703073358E+01  0.306270803855421E+00
     0.200000000000000E+01  0.122957104003199E+00  0.484170354733145E-02  0.812032656925803E+01  0.319755529984211E+00
     0.205000000000000E+01  0.122057540351196E+00  0.498179836700666E-02  0.817923161612591E+01  0.333836669093473E+00
     0.210000000000000E+01  0.121132217520600E+00  0.512353732226345E-02  0.824069907781714E+01  0.348557387546858E+00
     0.215000000000000E+01  0.120180833182259E+00  0.526699480454176E-02  0.830484340965910E+01  0.363964585142056E+00
     0.220000000000000E+01  0.119203071523988E+00  0.541224890774991E-02  0.837178724578179E+01  0.380109302534031E+00
     0.225000000000000E+01  0.118198602594165E+00  0.555938172339463E-02  0.844166209463801E+01  0.397047181049503E+00
     0.230000000000000E+01  0.117167081594577E+00  0.570847966436238E-02  0.851460910799913E+01  0.414838982771568E+00
     0.235000000000000E+01  0.116108148117814E+00  0.585963382078794E-02  0.859077993242784E+01  0.433551180128392E+00
     0.240000000000000E+01  0.115021425323978E+00  0.601294035192926E-02  0.867033765349122E+01  0.453256625838916E+00
     0.245000000000000E+01  0.113906519050788E+00  0.616850091852786E-02  0.875345784443837E+01  0.474035316008892E+00
     0.250000000000000E+01  0.112763016850613E+00  0.632642316078728E-02  0.884032973274465E+01  0.495975261501957E+00
     0.255000000000000E+01  0.111590486947062E+00  0.648682122786596E-02  0.893115749988571E+01  0.519173485524413E+00
     0.260000000000000E+01  0.110388477102928E+00  0.664981636567452E-02  0.902616173196648E+01  0.543737168767080E+00
     0.265000000000000E+01  0.109156513390320E+00  0.681553757081901E-02  0.912558104145608E+01  0.569784967583192E+00
     0.270000000000000E+01  0.107894098852569E+00  0.698412231977000E-02  0.922967388334621E+01  0.597448535725379E+00
     0.275000000000000E+01  0.106600712046319E+00  0.715571738380185E-02  0.933872059259092E+01  0.626874286335302E+00
     0.280000000000000E+01  0.105275805450547E+00  0.733047974198416E-02  0.945302567383490E+01  0.658225438465575E+00
     0.285000000000000E+01  0.103918803727743E+00  0.750857760657343E-02  0.957292037922570E+01  0.691684401768911E+00
     0.290000000000000E+01  0.102529101820322E+00  0.769019157762299E-02  0.969876561570562E+01  0.727455564586397E+00
     0.295000000000000E+01  0.101106062863230E+00  0.787551594658740E-02  0.983095522964601E+01  0.765768565095823E+00
     0.300000000000000E+01  0.996490158909715E-01  0.806476017225697E-02  0.996991972419104E+01  0.806882143223855E+00
     0.305000000000000E+01  0.981572533144237E-01  0.825815055665740E-02  0.101161304733100E+02  0.851088693688094E+00
     0.310000000000000E+01  0.966300281392010E-01  0.845593215376121E-02  0.102701045064672E+02  0.898719669144887E+00
     0.315000000000000E+01  0.950665508935054E-01  0.865837095020451E-02  0.104324099490461E+02  0.950152018711941E+00
     0.320000000000000E+01  0.934659862286016E-01  0.886575636496477E-02  0.106036722162953E+02  0.100581589342768E+01
     0.325000000000000E+01  0.918274491499455E-01  0.907840412448748E-02  0.107845810724069E+02  0.106620390956015E+01
     0.330000000000000E+01  0.901500008307285E-01  0.929665958151928E-02  0.109758986811604E+02  0.113188233721251E+01
     0.335000000000000E+01  0.884326439525613E-01  0.952090156049645E-02  0.111784687895985E+02  0.120350468091785E+01
     0.340000000000000E+01  0.866743175100698E-01  0.975154683052924E-02  0.113932272001170E+02  0.128182824837233E+01
     0.345000000000000E+01  0.848738910067460E-01  0.998905532981630E-02  0.116212136968109E+02  0.136773447334748E+01
     0.350000000000000E+01  0.830301579591376E-01  0.102339362940386E-01  0.118635855947158E+02  0.146225398312438E+01
     0.355000000000000E+01  0.811418286146393E-01  0.104867554776672E-01  0.121216330688352E+02  0.156659769878474E+01
     0.360000000000000E+01  0.792075217752518E-01  0.107481437034858E-01  0.123967963818965E+02  0.168219565502311E+01
     0.365000000000000E+01  0.772257556059325E-01  0.110188070350703E-01  0.126906850463423E+02  0.181074576184212E+01
     0.370000000000000E+01  0.751949372918538E-01  0.112995389436592E-01  0.130050987953072E+02  0.195427545518585E+01
     0.375000000000000E+01  0.731133513955137E-01  0.115912349403981E-01  0.133420499463947E+02  0.211522016927645E+01
     0.379999999999999E+01  0.709791467539089E-01  0.118949102750243E-01  0.137037862333213E+02  0.229652391058778E+01
     0.384999999999999E+01  0.687903217514828E-01  0.122117214731349E-01  0.140928123077472E+02  0.250176906130935E+01
     0.390000000000000E+01  0.665447078124666E-01  0.125429927106325E-01  0.145119066316311E+02  0.273534507974544E+01
     0.394999999999999E+01  0.642399509862969E-01  0.128902483256040E-01  0.149641279755376E+02  0.300266925206627E+01
     0.399999999999999E+01  0.618734915695096E-01  0.132552531721309E-01  0.154528015073868E+02  0.331047741129961E+01
     0.404999999999999E+01  0.594425418450715E-01  0.136400630651651E-01  0.159814672973722E+02  0.366720895580451E+01
     0.409999999999999E+01  0.569440622737013E-01  0.140470883025216E-01  0.165537619128853E+02  0.408351891390456E+01
     0.414999999999999E+01  0.543747369223461E-01  0.144791742496526E-01  0.171731830747233E+02  0.457296024282769E+01
     0.419999999999999E+01  0.517309496992501E-01  0.149397043283693E-01  0.178426519795948E+02  0.515289099772709E+01
     0.424999999999999E+01  0.490087643163452E-01  0.154327325794382E-01  0.185637274797914E+02  0.584566956277331E+01
     0.429999999999999E+01  0.462039132154594E-01  0.159631554037232E-01  0.193352237128262E+02  0.668019566771950E+01
     0.434999999999999E+01  0.433118046565653E-01  0.165369352378583E-01  0.201508115194023E+02  0.769380698239117E+01
