#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.130211109232621E+00  -.229980554668740E-13  0.767983627428829E+01  -.135642267125657E-11
     0.500000000000000E-01  0.130200579484475E+00  0.114902241747245E-03  0.768045138624344E+01  0.677801193669291E-02
     0.100000000000000E+00  0.130168987596953E+00  0.229833609507431E-03  0.768229745756451E+01  0.135642919759725E-01
     0.150000000000000E+00  0.130116325637641E+00  0.344823264897749E-03  0.768537669687279E+01  0.203671343438099E-01
     0.200000000000000E+00  0.130042580375306E+00  0.459900440982862E-03  0.768969279273062E+01  0.271948856766233E-01
     0.250000000000000E+00  0.129947733264037E+00  0.575094478275265E-03  0.769525092497721E+01  0.340559716182581E-01
     0.300000000000000E+00  0.129831760420977E+00  0.690434861134289E-03  0.770205778069002E+01  0.409589238951719E-01
     0.350000000000000E+00  0.129694632597558E+00  0.805951254669950E-03  0.771012157486509E+01  0.479124080346667E-01
     0.400000000000000E+00  0.129536315144142E+00  0.921673542284196E-03  0.771945207593580E+01  0.549252518986957E-01
     0.450000000000000E+00  0.129356767967968E+00  0.103763186398646E-02  0.773006063627958E+01  0.620064752138623E-01
     0.500000000000000E+00  0.129155945484223E+00  0.115385665562583E-02  0.774196022789357E+01  0.691653202882298E-01
     0.550000000000000E+00  0.128933796560106E+00  0.127037868918829E-02  0.775516548344956E+01  0.764112841175055E-01
     0.600000000000000E+00  0.128690264451657E+00  0.138722911431532E-02  0.776969274297650E+01  0.837541520974216E-01
     0.650000000000000E+00  0.128425286733161E+00  0.150443950120827E-02  0.778556010645093E+01  0.912040335756686E-01
     0.700000000000000E+00  0.128138795218849E+00  0.162204188509324E-02  0.780278749261954E+01  0.987713994961059E-01
     0.750000000000000E+00  0.127830715876629E+00  0.174006881243248E-02  0.782139670441709E+01  0.106467122410183E+00
     0.800000000000000E+00  0.127500968733536E+00  0.185855338908087E-02  0.784141150139100E+01  0.114302519156113E+00
     0.850000000000000E+00  0.127149467772525E+00  0.197752933060095E-02  0.786285767959432E+01  0.122289396535709E+00
     0.900000000000000E+00  0.126776120820283E+00  0.209703101496614E-02  0.788576315946099E+01  0.130440100352253E+00
     0.950000000000000E+00  0.126380829425551E+00  0.221709353790030E-02  0.791015808224422E+01  0.138767568211321E+00
     0.100000000000000E+01  0.125963488727566E+00  0.233775277112248E-02  0.793607491565708E+01  0.147285386530048E+00
     0.105000000000000E+01  0.125523987314068E+00  0.245904542378921E-02  0.796354856943600E+01  0.156007852250564E+00
     0.110000000000000E+01  0.125062207068301E+00  0.258100910745250E-02  0.799261652162486E+01  0.164950039810370E+00
     0.115000000000000E+01  0.124578023004429E+00  0.270368240488153E-02  0.802331895646925E+01  0.174127873987751E+00
     0.120000000000000E+01  0.124071303090631E+00  0.282710494312877E-02  0.805569891491346E+01  0.183558209315114E+00
     0.125000000000000E+01  0.123541908059191E+00  0.295131747125821E-02  0.808980245880136E+01  0.193258916838558E+00
     0.130000000000000E+01  0.122989691202723E+00  0.307636194319570E-02  0.812567885001387E+01  0.203248979100286E+00
     0.135000000000000E+01  0.122414498155640E+00  0.320228160620759E-02  0.816338074591283E+01  0.213548594332912E+00
     0.140000000000000E+01  0.121816166659934E+00  0.332912109556724E-02  0.820296441261974E+01  0.224179290984221E+00
     0.145000000000000E+01  0.121194526314131E+00  0.345692653602856E-02  0.824448995783943E+01  0.235164053840218E+00
     0.150000000000000E+01  0.120549398304277E+00  0.358574565079275E-02  0.828802158513661E+01  0.246527463186232E+00
     0.155000000000000E+01  0.119880595115659E+00  0.371562787873131E-02  0.833362787179989E+01  0.258295848644709E+00
     0.160000000000000E+01  0.119187920223834E+00  0.384662450071355E-02  0.838138207268521E+01  0.270497459558700E+00
     0.165000000000000E+01  0.118471167763407E+00  0.397878877598588E-02  0.843136245271979E+01  0.283162654057268E+00
     0.170000000000000E+01  0.117730122172830E+00  0.411217608966035E-02  0.848365265107701E+01  0.296324109249871E+00
