#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.369633450746794E+00  -.151615168473015E-10  0.270538285422933E+01  -.110968603193050E-09
     0.500000000000000E-01  0.369628239571668E+00  0.568120398747685E-04  0.270542093194768E+01  0.415824510708261E-03
     0.100000000000000E+00  0.369612605214827E+00  0.113633198755203E-03  0.270553517756860E+01  0.831786070697333E-03
     0.150000000000000E+00  0.369586545181387E+00  0.170472570705083E-03  0.270572562850133E+01  0.124802163262429E-02
     0.200000000000000E+00  0.369550055311584E+00  0.227339275719334E-03  0.270599234713230E+01  0.166466851095567E-02
     0.250000000000000E+00  0.369503129778334E+00  0.284242449966782E-03  0.270633542088173E+01  0.208186439699383E-02
     0.300000000000000E+00  0.369445761083810E+00  0.341191251217813E-03  0.270675496228302E+01  0.249974748556355E-02
     0.350000000000000E+00  0.369377940055046E+00  0.398194864303353E-03  0.270725110908504E+01  0.291845660262378E-02
     0.400000000000000E+00  0.369299655838520E+00  0.455262506613128E-03  0.270782402437770E+01  0.333813133404186E-02
     0.450000000000000E+00  0.369210895893783E+00  0.512403433641301E-03  0.270847389674055E+01  0.375891215576952E-02
     0.500000000000000E+00  0.369111645986025E+00  0.569626944587737E-03  0.270920094041536E+01  0.418094056566684E-02
     0.550000000000000E+00  0.369001890177671E+00  0.626942388023247E-03  0.271000539550230E+01  0.460435921722253E-02
     0.600000000000000E+00  0.368881610818914E+00  0.684359167627372E-03  0.271088752818066E+01  0.502931205542767E-02
     0.650000000000000E+00  0.368750788537211E+00  0.741886748007513E-03  0.271184763095415E+01  0.545594445506503E-02
     0.700000000000000E+00  0.368609402225723E+00  0.799534660608323E-03  0.271288602292134E+01  0.588440336168427E-02
     0.750000000000000E+00  0.368457429030674E+00  0.857312509720685E-03  0.271400305007182E+01  0.631483743554257E-02
     0.800000000000000E+00  0.368294844337608E+00  0.915229978599740E-03  0.271519908560852E+01  0.674739719879854E-02
     0.850000000000000E+00  0.368121621756541E+00  0.973296835701883E-03  0.271647453029687E+01  0.718223518625939E-02
     0.900000000000000E+00  0.367937733105965E+00  0.103152294105082E-02  0.271782981284136E+01  0.761950609999092E-02
     0.950000000000000E+00  0.367743148395690E+00  0.108991825274339E-02  0.271926539029043E+01  0.805936696811520E-02
     0.100000000000000E+01  0.367537835808506E+00  0.114849283360590E-02  0.272078174847012E+01  0.850197730813146E-02
     0.105000000000000E+01  0.367321761680615E+00  0.120725685801272E-02  0.272237940244771E+01  0.894749929511463E-02
     0.110000000000000E+01  0.367094890480826E+00  0.126622061887871E-02  0.272405889702594E+01  0.939609793515884E-02
     0.115000000000000E+01  0.366857184788469E+00  0.132539453483816E-02  0.272582080726889E+01  0.984794124445314E-02
     0.120000000000000E+01  0.366608605269997E+00  0.138478915762313E-02  0.272766573906056E+01  0.103032004343960E-01
     0.125000000000000E+01  0.366349110654238E+00  0.144441517965475E-02  0.272959432969733E+01  0.107620501031746E-01
     0.130000000000000E+01  0.366078657706251E+00  0.150428344186209E-02  0.273160724851527E+01  0.112246684342610E-01
     0.135000000000000E+01  0.365797201199771E+00  0.156440494174301E-02  0.273370519755376E+01  0.116912374022952E-01
