# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.06511747649683478  0.294318116893756E+01  0.339768414718752E+00
0.20  0.13023495299366955  0.290335560642417E+01  0.344429045407779E+00
0.30  0.1953524294905043  0.283960971676117E+01  0.352161071325178E+00
0.45  0.2930286442357565  0.270538285422933E+01  0.369633450746794E+00
0.60  0.3907048589810086  0.253625069894199E+01  0.394282789322505E+00
0.80  0.5209398119746782  0.228114089994129E+01  0.438377129630938E+00
1.30  0.846527194458852  0.171457613302634E+01  0.583234527028515E+00
1.70  1.1069971004461912  0.145663345706022E+01  0.686514507237943E+00
