#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.131459503545262E+00  -.283866125459965E-11  0.760690534371065E+01  -.164259158784696E-09
     0.500000000000000E-01  0.131449166150298E+00  0.112810411121544E-03  0.760749796115324E+01  0.652879738790236E-02
     0.100000000000000E+00  0.131418151308313E+00  0.225650131863774E-03  0.760927651035559E+01  0.130654268900909E-01
     0.150000000000000E+00  0.131366451044610E+00  0.338548504625040E-03  0.761224308405994E+01  0.196177448081904E-01
     0.200000000000000E+00  0.131294052056671E+00  0.451534951692726E-03  0.761640117723550E+01  0.261936567861508E-01
     0.250000000000000E+00  0.131200935697092E+00  0.564639011285505E-03  0.762175569771823E+01  0.328011426027862E-01
     0.300000000000000E+00  0.131087077949609E+00  0.677890376863942E-03  0.762831298119205E+01  0.394482815739032E-01
     0.350000000000000E+00  0.130952449398109E+00  0.791318937018770E-03  0.763608081059921E+01  0.461432785549718E-01
     0.400000000000000E+00  0.130797015188558E+00  0.904954816088817E-03  0.764506844008906E+01  0.528944907054152E-01
     0.450000000000000E+00  0.130620734983647E+00  0.101882841566597E-02  0.765528662364927E+01  0.597104551832293E-01
     0.500000000000000E+00  0.130423562910055E+00  0.113297045715085E-02  0.766674764858327E+01  0.665999179478475E-01
     0.550000000000000E+00  0.130205447498105E+00  0.124741202553040E-02  0.767946537403382E+01  0.735718638604080E-01
     0.600000000000000E+00  0.129966331613566E+00  0.136218461455801E-02  0.769345527478421E+01  0.806355482838550E-01
     0.650000000000000E+00  0.129706152381400E+00  0.147732017352661E-02  0.770873449059749E+01  0.878005304006930E-01
     0.700000000000000E+00  0.129424841101132E+00  0.159285115583775E-02  0.772532188139769E+01  0.950767084843294E-01
     0.750000000000000E+00  0.129122323153518E+00  0.170881056958307E-02  0.774323808863220E+01  0.102474357380647E+00
     0.800000000000000E+00  0.128798517898169E+00  0.182523203037010E-02  0.776250560319861E+01  0.110004168480318E+00
     0.850000000000000E+00  0.128453338561729E+00  0.194214981664244E-02  0.778314884036684E+01  0.117677292489795E+00
     0.900000000000000E+00  0.128086692116134E+00  0.205959892776369E-02  0.780519422217941E+01  0.125505385340209E+00
     0.950000000000000E+00  0.127698479146523E+00  0.217761514515781E-02  0.782867026786608E+01  0.133500657609171E+00
     0.100000000000000E+01  0.127288593708192E+00  0.229623509682316E-02  0.785360769287617E+01  0.141675927871470E+00
     0.105000000000000E+01  0.126856923172031E+00  0.241549632556689E-02  0.788003951719774E+01  0.150044680441292E+00
     0.110000000000000E+01  0.126403348057809E+00  0.253543736133797E-02  0.790800118370729E+01  0.158621128021915E+00
     0.115000000000000E+01  0.125927741854544E+00  0.265609779807366E-02  0.793753068738359E+01  0.167420279839957E+00
     0.120000000000000E+01  0.125429970827208E+00  0.277751837551516E-02  0.796866871630883E+01  0.176458015910975E+00
     0.125000000000000E+01  0.124909893808863E+00  0.289974106649403E-02  0.800145880548827E+01  0.185751168163177E+00
     0.130000000000000E+01  0.124367361977312E+00  0.302280917024293E-02  0.803594750463553E+01  0.195317609237658E+00
     0.135000000000000E+01  0.123802218615212E+00  0.314676741234310E-02  0.807218456120296E+01  0.205176349888866E+00
     0.140000000000000E+01  0.123214298852459E+00  0.327166205198704E-02  0.811022312008682E+01  0.215347646030179E+00
     0.145000000000000E+01  0.122603429389655E+00  0.339754099730972E-02  0.815011994159821E+01  0.225853116608727E+00
     0.150000000000000E+01  0.121969428201205E+00  0.352445392962728E-02  0.819193563948363E+01  0.236715873654859E+00
     0.155000000000000E+01  0.121312104216550E+00  0.365245243751770E-02  0.823573494098721E+01  0.247960666037600E+00
     0.160000000000000E+01  0.120631256977849E+00  0.378159016178862E-02  0.828158697118553E+01  0.259614038673099E+00
     0.165000000000000E+01  0.119926676272256E+00  0.391192295250144E-02  0.832956556409896E+01  0.271704509183521E+00
     0.170000000000000E+01  0.119198141736710E+00  0.404350903936420E-02  0.837974960338995E+01  0.284262764295095E+00
     0.175000000000000E+01  0.118445422433079E+00  0.417640921696758E-02  0.843222339580145E+01  0.297321878603218E+00
     0.180000000000000E+01  0.117668276391013E+00  0.431068704652587E-02  0.848707708089890E+01  0.310917558730312E+00
     0.185000000000000E+01  0.116866450115891E+00  0.444640907599793E-02  0.854440708111483E+01  0.325088416365991E+00
     0.190000000000000E+01  0.116039678058654E+00  0.458364508070964E-02  0.860431659662926E+01  0.339876274226416E+00
     0.195000000000000E+01  0.115187682044266E+00  0.472246832688278E-02  0.866691615019224E+01  0.355326509611529E+00
     0.200000000000000E+01  0.114310170654875E+00  0.486295586080305E-02  0.873232418769077E+01  0.371488440999473E+00
     0.205000000000000E+01  0.113406838563580E+00  0.500518882673900E-02  0.880066774102230E+01  0.388415764015075E+00
     0.210000000000000E+01  0.112477365814065E+00  0.514925281716410E-02  0.887208316074156E+01  0.406167044177434E+00
     0.215000000000000E+01  0.111521417040818E+00  0.529523825934702E-02  0.894671692697445E+01  0.424806275102501E+00
     0.220000000000000E+01  0.110538640624194E+00  0.544324084297192E-02  0.902472654826957E+01  0.444403512353687E+00
     0.225000000000000E+01  0.109528667773627E+00  0.559336199415185E-02  0.910628155944222E+01  0.465035594954019E+00
     0.230000000000000E+01  0.108491111531734E+00  0.574570940201752E-02  0.919156463103556E+01  0.486786968758679E+00
     0.235000000000000E+01  0.107425565690995E+00  0.590039760503104E-02  0.928077280486554E+01  0.509750628525254E+00
     0.240000000000000E+01  0.106331603613713E+00  0.605754864531378E-02  0.937411887223939E+01  0.534029198711538E+00
     0.245000000000000E+01  0.105208776944772E+00  0.621729280062833E-02  0.947183291390377E+01  0.559736176909285E+00
     0.250000000000000E+01  0.104056614205336E+00  0.637976940525815E-02  0.957416402364603E+01  0.586997368552165E+00
     0.255000000000000E+01  0.102874619254081E+00  0.654512777294208E-02  0.968138224080155E+01  0.615952547325950E+00
     0.260000000000000E+01  0.101662269600759E+00  0.671352823730740E-02  0.979378072079053E+01  0.646757382824881E+00
     0.265000000000000E+01  0.100419014554880E+00  0.688514332799301E-02  0.991167817730171E+01  0.679585685780325E+00
     0.270000000000000E+01  0.991442731898422E-01  0.706015910396494E-02  0.100354216349704E+02  0.714632032075073E+00
     0.275000000000000E+01  0.978374321001991E-01  0.723877666953191E-02  0.101653895374380E+02  0.752114840309263E+00
     0.280000000000000E+01  0.964978429265698E-01  0.742121390343689E-02  0.103019952626801E+02  0.792279994639049E+00
     0.285000000000000E+01  0.951248196190497E-01  0.760770743733804E-02  0.104456911055354E+02  0.835405125917352E+00
     0.290000000000000E+01  0.937176354058125E-01  0.779851492727098E-02  0.105969727965637E+02  0.881804691081233E+00
     0.295000000000000E+01  0.922755194287541E-01  0.799391767064470E-02  0.107563846367806E+02  0.931836024901498E+00
     0.300000000000000E+01  0.907976530024410E-01  0.819422363240723E-02  0.109245253394512E+02  0.985906581824929E+00
     0.305000000000000E+01  0.892831654462456E-01  0.839977095779657E-02  0.111020546828377E+02  0.104448264161193E+01
     0.310000000000000E+01  0.877311294322177E-01  0.861093206631078E-02  0.112897010912410E+02  0.110809982471205E+01
