#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.380181687631983E+00  0.134871200446511E-11  0.263032132407177E+01  0.933118574824729E-11
     0.500000000000000E-01  0.380172676205179E+00  0.986254862522988E-04  0.263038349489399E+01  0.682381631955923E-03
     0.100000000000000E+00  0.380145637093207E+00  0.197304966419752E-03  0.263057005799140E+01  0.136533077408314E-02
     0.150000000000000E+00  0.380100555789402E+00  0.296092576737475E-03  0.263088116539619E+01  0.204941658592010E-02
     0.200000000000000E+00  0.380037408075837E+00  0.395042732200573E-03  0.263131707096326E+01  0.273521148947501E-02
     0.250000000000000E+00  0.379956159962867E+00  0.494210270133731E-03  0.263187813107504E+01  0.342329284053396E-02
     0.300000000000000E+00  0.379856767603994E+00  0.593650595039002E-03  0.263256480563417E+01  0.411424462225910E-02
     0.350000000000000E+00  0.379739177185538E+00  0.693419826991865E-03  0.263337765935009E+01  0.480865918150603E-02
     0.400000000000000E+00  0.379603324790486E+00  0.793574954547004E-03  0.263431736332744E+01  0.550713901944556E-02
     0.450000000000000E+00  0.379449136235689E+00  0.894173993166896E-03  0.263538469696589E+01  0.621029864870538E-02
     0.500000000000000E+00  0.379276526881425E+00  0.995276150250074E-03  0.263658055018342E+01  0.691876653002352E-02
     0.550000000000000E+00  0.379085401412200E+00  0.109694199791322E-02  0.263790592597668E+01  0.763318710234790E-02
     0.600000000000000E+00  0.378875653587380E+00  0.119923365477349E-02  0.263936194333502E+01  0.835422292144123E-02
     0.650000000000000E+00  0.378647165960175E+00  0.130221497808614E-02  0.264094984052650E+01  0.908255692337472E-02
     0.700000000000000E+00  0.378399809563121E+00  0.140595176772022E-02  0.264267097877767E+01  0.981889483085380E-02
     0.750000000000000E+00  0.378133443558112E+00  0.151051198360366E-02  0.264452684637106E+01  0.105639677221282E-01
     0.800000000000000E+00  0.377847914848638E+00  0.161596597844205E-02  0.264651906318828E+01  0.113185347843557E-01
     0.850000000000000E+00  0.377543057651702E+00  0.172238674771625E-02  0.264864938572949E+01  0.120833862757341E-01
     0.900000000000000E+00  0.377218693026458E+00  0.182985019919635E-02  0.265091971264451E+01  0.128593467235619E-01
     0.950000000000000E+00  0.376874628356382E+00  0.193843544447950E-02  0.265333209081470E+01  0.136472783886806E-01
     0.100000000000000E+01  0.376510656781244E+00  0.204822511537170E-02  0.265588872202989E+01  0.144480850305777E-01
     0.105000000000000E+01  0.376126556574827E+00  0.215930570829668E-02  0.265859197031002E+01  0.152627160118646E-01
     0.110000000000000E+01  0.375722090463771E+00  0.227176796033668E-02  0.266144436992697E+01  0.160921707860069E-01
     0.115000000000000E+01  0.375297004882372E+00  0.238570726100117E-02  0.266444863418927E+01  0.169375038181888E-01
     0.120000000000000E+01  0.374851029157539E+00  0.250122410439128E-02  0.266760766505968E+01  0.177998299962038E-01
     0.125000000000000E+01  0.374383874617414E+00  0.261842458709715E-02  0.267092456368461E+01  0.186803305964509E-01
     0.130000000000000E+01  0.373895233616320E+00  0.273742095794799E-02  0.267440264192391E+01  0.195802598797142E-01
     0.135000000000000E+01  0.373384778467802E+00  0.285833222665450E-02  0.267804543498095E+01  0.205009524026730E-01
     0.140000000000000E+01  0.372852160276525E+00  0.298128483946506E-02  0.268185671524529E+01  0.214438311443565E-01
     0.145000000000000E+01  0.372297007658509E+00  0.310641343123495E-02  0.268584050747510E+01  0.224104165624358E-01
     0.150000000000000E+01  0.371718925337961E+00  0.323386166482016E-02  0.269000110546248E+01  0.234023367127995E-01
     0.155000000000000E+01  0.371117492607306E+00  0.336378317050339E-02  0.269434309034392E+01  0.244213385879148E-01
     0.160000000000000E+01  0.370492261635317E+00  0.349634260030029E-02  0.269887135073998E+01  0.254693008557636E-01
     0.165000000000000E+01  0.369842755606209E+00  0.363171681455281E-02  0.270359110493223E+01  0.265482482125789E-01
     0.170000000000000E+01  0.369168466670172E+00  0.377009622128663E-02  0.270850792531523E+01  0.276603676003536E-01
     0.175000000000000E+01  0.368468853683246E+00  0.391168629250799E-02  0.271362776539274E+01  0.288080265855549E-01
     0.180000000000000E+01  0.367743339711251E+00  0.405670928608549E-02  0.271895698962607E+01  0.299937942504786E-01
     0.185000000000000E+01  0.366991309268979E+00  0.420540620729034E-02  0.272450240648558E+01  0.312204650154652E-01
     0.190000000000000E+01  0.366212105261739E+00  0.435803905068459E-02  0.273027130510682E+01  0.324910858916445E-01
     0.195000000000000E+01  0.365405025591605E+00  0.451489337114798E-02  0.273627149601040E+01  0.338089877636383E-01
     0.200000000000000E+01  0.364569319385269E+00  0.467628124279879E-02  0.274251135641204E+01  0.351778214244062E-01
     0.205000000000000E+01  0.363704182794077E+00  0.484254467687806E-02  0.274899988072597E+01  0.366015992361712E-01
     0.210000000000000E+01  0.362808754309651E+00  0.501405958496022E-02  0.275574673695330E+01  0.380847434798957E-01
     0.215000000000000E+01  0.361882109530141E+00  0.519124039294505E-02  0.276276232974908E+01  0.396321426912259E-01
     0.220000000000000E+01  0.360923255302817E+00  0.537454543524334E-02  0.277005787107607E+01  0.412492175763538E-01
     0.225000000000000E+01  0.359931123157975E+00  0.556448328880234E-02  0.277764545948505E+01  0.429419984743539E-01
     0.230000000000000E+01  0.358904561937294E+00  0.576162024498576E-02  0.278553816920561E+01  0.447172168061761E-01
     0.235000000000000E+01  0.357842329506840E+00  0.596658916630430E-02  0.279375015039084E+01  0.465824135553096E-01
     0.240000000000000E+01  0.356743083431070E+00  0.618010003790697E-02  0.280229674202711E+01  0.485460686022651E-01
     0.245000000000000E+01  0.355605370470424E+00  0.640295260505375E-02  0.281119459918890E+01  0.506177557396780E-01
     0.250000000000000E+01  0.354427614752436E+00  0.663605159355905E-02  0.282046183647146E+01  0.528083295020970E-01
     0.255000000000000E+01  0.353208104457332E+00  0.688042514866471E-02  0.283011818954128E+01  0.551301516564312E-01
     0.260000000000000E+01  0.351944976857706E+00  0.713724731027678E-02  0.284018519675645E+01  0.575973674556339E-01
     0.265000000000000E+01  0.350636201565259E+00  0.740786558451533E-02  0.285068640263656E+01  0.602262447518754E-01
     0.270000000000000E+01  0.349279561877230E+00  0.769383499452458E-02  0.286164758446280E+01  0.630355930619138E-01
     0.275000000000000E+01  0.347872634201059E+00  0.799696042706711E-02  0.287309700221355E+01  0.660472850432595E-01
     0.280000000000000E+01  0.346412765700852E+00  0.831934967638877E-02  0.288506566998199E+01  0.692869100807100E-01
     0.285000000000000E+01  0.344897050609157E+00  0.866348037899453E-02  0.289758764328467E+01  0.727845994904174E-01
     0.290000000000000E+01  0.343322306176584E+00  0.903228510747614E-02  0.291070031008642E+01  0.765760761539263E-01
     0.295000000000000E+01  0.341685050148900E+00  0.942926034638059E-02  0.292444466195727E+01  0.807039994116254E-01
     0.300000000000000E+01  0.339981483238662E+00  0.985860702801878E-02  0.293886550216248E+01  0.852197002555055E-01
     0.305000000000000E+01  0.338207482760267E+00  0.103254128867516E-01  0.295401151389555E+01  0.901854338178854E-01
     0.310000000000000E+01  0.336358618218702E+00  0.108358901731458E-01  0.296993505441757E+01  0.956773167920430E-01
     0.315000000000000E+01  0.334430207536336E+00  0.113976861286112E-01  0.298669144274521E+01  0.101789165154049E+00
     0.320000000000000E+01  0.332417446036076E+00  0.120202873414008E-01  0.300433734156152E+01  0.108637493448976E+00
     0.325000000000000E+01  0.330315662928613E+00  0.127155404571291E-01  0.302292755278546E+01  0.116367953174298E+00
     0.330000000000000E+01  0.328120797280649E+00  0.134983048592457E-01  0.304250908360773E+01  0.125163401673788E+00
     0.335000000000000E+01  0.325830243602946E+00  0.143872239563614E-01  0.306311061722657E+01  0.135253431252533E+00
     0.340000000000000E+01  0.323444297998865E+00  0.154055203013265E-01  0.308472451928509E+01  0.146924173651727E+00
     0.345000000000000E+01  0.320968516248214E+00  0.165815280081904E-01  0.310727751454845E+01  0.160524807040142E+00
     0.350000000000000E+01  0.318417272931609E+00  0.179482909459176E-01  0.313058645439497E+01  0.176462401042226E+00
     0.355000000000000E+01  0.315818402326679E+00  0.195409556048521E-01  0.315430069447247E+01  0.195169278867047E+00
     0.360000000000000E+01  0.313217512355968E+00  0.213902422085055E-01  0.317784867391879E+01  0.217021558998425E+00
     0.365000000000000E+01  0.310678272677425E+00  0.235113006795303E-01  0.320043479801138E+01  0.242200345047641E+00
     0.370000000000000E+01  0.308273764259164E+00  0.258914708342999E-01  0.322114771897726E+01  0.270539571926586E+00
     0.375000000000000E+01  0.306068555461118E+00  0.284858562366647E-01  0.323918387043113E+01  0.301471433150689E+00
     0.379999999999999E+01  0.304101141301454E+00  0.312273163998435E-01  0.325406655835898E+01  0.334151215510548E+00
     0.384999999999999E+01  0.302378099021063E+00  0.340448267100904E-01  0.326571971262074E+01  0.367688209099280E+00
     0.390000000000000E+01  0.300879708305449E+00  0.368798566878375E-01  0.327439210674524E+01  0.401353458884497E+00
     0.394999999999999E+01  0.299575221523425E+00  0.396960614609052E-01  0.328046039970841E+01  0.434686677304879E+00
     0.399999999999999E+01  0.298439202856426E+00  0.424698271469900E-01  0.328425632208339E+01  0.467370898227446E+00
     0.404999999999999E+01  0.297440744435568E+00  0.451768987582955E-01  0.328620418554395E+01  0.499126352279439E+00
     0.409999999999999E+01  0.296535282436445E+00  0.478162669899701E-01  0.328681776396977E+01  0.529998840131407E+00
     0.414999999999999E+01  0.295708594821366E+00  0.504169882292019E-01  0.328618247479674E+01  0.560279363036174E+00
     0.419999999999999E+01  0.294985945561171E+00  0.529734219164704E-01  0.328408427526938E+01  0.589754137581495E+00
     0.424999999999999E+01  0.294347164868630E+00  0.554323961923623E-01  0.328098660951385E+01  0.617885855029652E+00
     0.429999999999999E+01  0.293707811132305E+00  0.577999088895082E-01  0.327780210730808E+01  0.645051496689346E+00
     0.434999999999999E+01  0.293049267529427E+00  0.601727608263281E-01  0.327434345422290E+01  0.672331608931330E+00
     0.439999999999999E+01  0.292474518387373E+00  0.625876270955712E-01  0.326938567788115E+01  0.699627074409983E+00
     0.444999999999999E+01  0.292044439536496E+00  0.649278520393815E-01  0.326286291274547E+01  0.725405629224619E+00
     0.449999999999999E+01  0.291635281240551E+00  0.670872206742242E-01  0.325660875146559E+01  0.749144030275865E+00
     0.454999999999999E+01  0.291084648278691E+00  0.691688709120251E-01  0.325181178799118E+01  0.772710450804728E+00
     0.459999999999999E+01  0.290445743492598E+00  0.713816808468340E-01  0.324686992572994E+01  0.797970147548554E+00
     0.464999999999999E+01  0.289956207619445E+00  0.737425473668064E-01  0.323927937470345E+01  0.823823413489041E+00
     0.469999999999999E+01  0.289720913003807E+00  0.760060072478458E-01  0.322934318278384E+01  0.847192833998922E+00
     0.474999999999999E+01  0.289521920476497E+00  0.779648508382034E-01  0.322043623295859E+01  0.867225632253790E+00
     0.479999999999999E+01  0.289056264056928E+00  0.797574757075992E-01  0.321478035275258E+01  0.887034109869468E+00
     0.484999999999999E+01  0.288332012023359E+00  0.817440371780470E-01  0.321020085171830E+01  0.910113226520959E+00
     0.489999999999999E+01  0.287703822882987E+00  0.840764636724375E-01  0.320231884271005E+01  0.935822267318903E+00
     0.494999999999999E+01  0.287483398738758E+00  0.864788641741593E-01  0.318981910213791E+01  0.959540391146536E+00
     0.499999999999999E+01  0.287547229630240E+00  0.885156147722346E-01  0.317667077113080E+01  0.977874022981233E+00
