# q[2pi/a]   q[bohr^-1]   eps_M(q,0)   eps^-1(q,0)
0.10  0.061221721788751696  0.116491178964360E+02  0.858434096804830E-01
0.20  0.12244344357750339  0.104516950622496E+02  0.956782602289931E-01
0.30  0.18366516536625507  0.948432319862498E+01  0.105437149183716E+00
0.45  0.27549774804938265  0.760690534371065E+01  0.131459503545262E+00
0.60  0.36733033073251015  0.609715226651808E+01  0.164010993376597E+00
0.80  0.48977377431001357  0.456687673857381E+01  0.218968029409151E+00
1.00  0.6122172178875169  0.456687673857381E+01  0.218968029409151E+00
1.30  0.795882383253772  0.263032132407177E+01  0.380181687631983E+00
1.70  1.0407692704087788  0.198881493172488E+01  0.502811993236953E+00
