#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.956782602289931E-01  0.724062362026063E-11  0.104516950622496E+02  0.790950733827765E-09
     0.500000000000000E-01  0.956675883973838E-01  0.116444859563683E-03  0.104528454748599E+02  0.127230145940861E-01
     0.100000000000000E+00  0.956355702977737E-01  0.232918441879065E-03  0.104562984814401E+02  0.254660974210362E-01
     0.150000000000000E+00  0.955821981124998E-01  0.349449521889953E-03  0.104620593950848E+02  0.382493992165111E-01
     0.200000000000000E+00  0.955074588010101E-01  0.466066942868425E-03  0.104701370938665E+02  0.510932323821817E-01
     0.250000000000000E+00  0.954113340831680E-01  0.582799661808315E-03  0.104805440553796E+02  0.640181545487886E-01
     0.300000000000000E+00  0.952938004157755E-01  0.699676788023251E-03  0.104932964054511E+02  0.770450532218096E-01
     0.350000000000000E+00  0.951548289622413E-01  0.816727622343541E-03  0.105084139813716E+02  0.901952329609345E-01
     0.400000000000000E+00  0.949943855552696E-01  0.933981697070045E-03  0.105259204101069E+02  0.103490505785060E+00
     0.450000000000000E+00  0.948124306524589E-01  0.105146881684903E-02  0.105458432020622E+02  0.116953285534825E+00
     0.500000000000000E+00  0.946089192845756E-01  0.116921910063918E-02  0.105682138610997E+02  0.130606686974936E+00
     0.550000000000000E+00  0.943838009963804E-01  0.128726302495025E-02  0.105930680116229E+02  0.144474630478893E+00
     0.600000000000000E+00  0.941370197797181E-01  0.140563146854319E-02  0.106204455436949E+02  0.158581953211388E+00
     0.650000000000000E+00  0.938685139986313E-01  0.152435575879290E-02  0.106503907772962E+02  0.172954527809005E+00
     0.700000000000000E+00  0.935782163061976E-01  0.164346771992847E-02  0.106829526469960E+02  0.187619389660237E+00
     0.750000000000000E+00  0.932660535527611E-01  0.176299972338109E-02  0.107181849084852E+02  0.202604874002921E+00
     0.800000000000000E+00  0.929319466851676E-01  0.188298474048725E-02  0.107561463686226E+02  0.217940764193593E+00
