#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.858434096804830E-01  -.289607584626241E-10  0.116491178964360E+02  -.393003133213168E-08
     0.500000000000000E-01  0.858325821624293E-01  0.118167535790037E-03  0.116505653150447E+02  0.160395802987077E-01
     0.100000000000000E+00  0.858000967579916E-01  0.236366632923551E-03  0.116549100598858E+02  0.321075610864675E-01
     0.150000000000000E+00  0.857459449117595E-01  0.354628845379164E-03  0.116621596089013E+02  0.482324639490329E-01
     0.200000000000000E+00  0.856701123499750E-01  0.472985857444561E-03  0.116723264614460E+02  0.644430734161572E-01
     0.250000000000000E+00  0.855725790583536E-01  0.591469506046240E-03  0.116854281927705E+02  0.807685653181452E-01
     0.300000000000000E+00  0.854533192508802E-01  0.710111832786082E-03  0.117014875309140E+02  0.972386424511564E-01
     0.350000000000000E+00  0.853123013294657E-01  0.828945136983453E-03  0.117205324566274E+02  0.113883674820319E+00
     0.400000000000000E+00  0.851494878342171E-01  0.948002029991829E-03  0.117425963271510E+02  0.130734845724349E+00
     0.450000000000000E+00  0.849648353841533E-01  0.106731549107100E-02  0.117677180248591E+02  0.147824305028078E+00
     0.500000000000000E+00  0.847582946080477E-01  0.118691892511077E-02  0.117959421320102E+02  0.165185331072777E+00
     0.550000000000000E+00  0.845298100650436E-01  0.130684622252020E-02  0.118273191330744E+02  0.182852502799969E+00
     0.600000000000000E+00  0.842793201547397E-01  0.142713182161740E-02  0.118619056463478E+02  0.200861883814970E+00
     0.650000000000000E+00  0.840067570161810E-01  0.154781077388022E-02  0.118997646868631E+02  0.219251220296700E+00
     0.700000000000000E+00  0.837120464153783E-01  0.166891881244661E-02  0.119409659628797E+02  0.238060154871255E+00
     0.750000000000000E+00  0.833951076206974E-01  0.179049242428756E-02  0.119855862085953E+02  0.257330458817099E+00
     0.800000000000000E+00  0.830558532655287E-01  0.191256892651346E-02  0.120337095560763E+02  0.277106285261558E+00
     0.850000000000000E+00  0.826941891974992E-01  0.203518654731939E-02  0.120854279498306E+02  0.297434446371436E+00
     0.900000000000000E+00  0.823100143134156E-01  0.215838451212575E-02  0.121408416079052E+02  0.318364717941780E+00
     0.950000000000000E+00  0.819032203791084E-01  0.228220313552828E-02  0.122000595339104E+02  0.339950175256163E+00
     0.100000000000000E+01  0.814736918330798E-01  0.240668391973882E-02  0.122632000849818E+02  0.362247564643712E+00
     0.105000000000000E+01  0.810213055729483E-01  0.253186966027409E-02  0.123303916013340E+02  0.385317715802637E+00
     0.110000000000000E+01  0.805459307233893E-01  0.265780455973741E-02  0.124017731038429E+02  0.409226000720244E+00
     0.115000000000000E+01  0.800474283842629E-01  0.278453435063871E-02  0.124774950669405E+02  0.434042845911729E+00
     0.120000000000000E+01  0.795256513573234E-01  0.291210642831347E-02  0.125577202751100E+02  0.459844305754845E+00
     0.125000000000000E+01  0.789804438499282E-01  0.304056999513383E-02  0.126426247723724E+02  0.486712705940890E+00
     0.130000000000000E+01  0.784116411537494E-01  0.316997621735824E-02  0.127323989154763E+02  0.514737367540070E+00
     0.135000000000000E+01  0.778190692964845E-01  0.330037839614192E-02  0.128272485429582E+02  0.544015423929450E+00
     0.140000000000000E+01  0.772025446641575E-01  0.343183215443520E-02  0.129273962739689E+02  0.574652744920843E+00
     0.145000000000000E+01  0.765618735914625E-01  0.356439564173239E-02  0.130330829527071E+02  0.606764984917325E+00
     0.150000000000000E+01  0.758968519171637E-01  0.369812975890975E-02  0.131445692565929E+02  0.640478774915610E+00
     0.155000000000000E+01  0.752072645013706E-01  0.383309840570963E-02  0.132621374889093E+02  0.675933081758527E+00
     0.160000000000000E+01  0.744928847009997E-01  0.396936875380274E-02  0.133860935796969E+02  0.713280762370792E+00
     0.165000000000000E+01  0.737534737993237E-01  0.410701154879670E-02  0.135167693222021E+02  0.752690345945630E+00
     0.170000000000000E+01  0.729887803850506E-01  0.424610144507206E-02  0.136545248762548E+02  0.794348083403689E+00
     0.175000000000000E+01  0.721985396757473E-01  0.438671737793196E-02  0.137997515747106E+02  0.838460311189118E+00
     0.180000000000000E+01  0.713824727797975E-01  0.452894297826311E-02  0.139528750746027E+02  0.885256185935727E+00
     0.185000000000000E+01  0.705402858903461E-01  0.467286703575129E-02  0.141143589010663E+02  0.934990858161265E+00
     0.190000000000000E+01  0.696716694037989E-01  0.481858401769768E-02  0.142847084395687E+02  0.987949167479311E+00
     0.195000000000000E+01  0.687762969545183E-01  0.496619465167809E-02  0.144644754406416E+02  0.104444995955724E+01
     0.200000000000000E+01  0.678538243561956E-01  0.511580658171890E-02  0.146542631113912E+02  0.110485114710635E+01
     0.205000000000000E+01  0.669038884390907E-01  0.526753510938150E-02  0.148547318797234E+02  0.116955566473732E+01
     0.210000000000000E+01  0.659261057709043E-01  0.542150403321827E-02  0.150666059306681E+02  0.123901850207687E+01
     0.215000000000000E+01  0.649200712472445E-01  0.557784660257022E-02  0.152906806296555E+02  0.131375504312513E+01
     0.220000000000000E+01  0.638853565357794E-01  0.573670660472086E-02  0.155278309651729E+02  0.139435099505170E+01
     0.225000000000000E+01  0.628215083558208E-01  0.589823960813819E-02  0.157790211630531E+02  0.148147425996892E+01
     0.230000000000000E+01  0.617280465724873E-01  0.606261438909022E-02  0.160453156465608E+02  0.157588919328756E+01
     0.235000000000000E+01  0.606044620815942E-01  0.623001457452906E-02  0.163278915400568E+02  0.167847380823098E+01
     0.240000000000000E+01  0.594502144578708E-01  0.640064054107590E-02  0.166280529384097E+02  0.179024063625814E+01
     0.245000000000000E+01  0.582647293351977E-01  0.657471161856675E-02  0.169472471875930E+02  0.191236214873618E+01
     0.250000000000000E+01  0.570473954828630E-01  0.675246865740065E-02  0.172870834408161E+02  0.204620190148814E+01
     0.255000000000000E+01  0.557975615367443E-01  0.693417703247835E-02  0.176493537631855E+02  0.219335290167068E+01
     0.260000000000000E+01  0.545145323383827E-01  0.712013017363631E-02  0.180360570465820E+02  0.235568514453488E+01
     0.265000000000000E+01  0.531975648284054E-01  0.731065373422990E-02  0.184494259486700E+02  0.253540486563819E+01
     0.270000000000000E+01  0.518458634336945E-01  0.750611053732330E-02  0.188919569584893E+02  0.273512885706165E+01
     0.275000000000000E+01  0.504585748801895E-01  0.770690647470091E-02  0.193664434708224E+02  0.295797828082952E+01
     0.280000000000000E+01  0.490347823559321E-01  0.791349758019448E-02  0.198760113477513E+02  0.320769788601539E+01
     0.285000000000000E+01  0.475734989422488E-01  0.812639855910115E-02  0.204241557348511E+02  0.348880854729719E+01
